metric,value
KW_nean_morph_H,0.034556747600220206
KW_nean_morph_p,0.9828700412807009
KW_deni_morph_H,6.779911392954858
KW_deni_morph_p,0.03371017034578248
MWU_nean_tone_U,422.0
MWU_nean_tone_p,0.4690632682744803
MWU_deni_tone_U,414.0
MWU_deni_tone_p,0.5488767183829
Mantel_typo_nean_r,-0.06634080585815058
Mantel_typo_nean_p,0.9345
Mantel_typo_deni_r,0.02253950239862525
Mantel_typo_deni_p,0.3013
Mantel_typo_geo_r,0.16856110661383825
Mantel_typo_geo_p,0.0012
PartialMantel_typo_nean_geo_r,-0.11688190846906399
PartialMantel_typo_nean_geo_p,1.0
PartialMantel_typo_deni_geo_r,-0.02537133257058594
PartialMantel_typo_deni_geo_p,0.6647
r_agglutinative_nean,-0.11071003473487584
CI_agglut_lo,-0.3401176887467048
CI_agglut_hi,0.1561974460658699
r_tone_nean,0.14604495520458388
CI_tone_lo,-0.000594042460679036
CI_tone_hi,0.28250162860959843
