cancer,prevalence_per_100k,sensitivity,specificity,follow_up_rate,actual_cases,true_positives,false_positives,total_positives,ppv,followed_positives,followed_true_positives,followed_false_positives,additional_visits,total_visits,fp_to_tp_ratio,visits_per_detected_case,ct_visits,mri_visits,endoscopy_visits,specialist_visits,ct_visits_utilization_pct,mri_visits_utilization_pct,endoscopy_visits_utilization_pct,specialist_total_visits,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
Gastric,84.32,0.7,0.99,0.0,84.32,59.024,999.157,1058.181,0.056,0.0,0.0,0.0,0.0,0.0,16.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastric,84.32,0.7,0.99,0.1,84.32,59.024,999.157,1058.181,0.056,105.818,5.902,99.916,173.483,416.865,16.928,7.063,31.745,10.582,95.236,105.818,0.559,0.395,3.687,279.301,3.491,3.687
Gastric,84.32,0.7,0.99,0.2,84.32,59.024,999.157,1058.181,0.056,211.636,11.805,199.831,346.966,833.73,16.928,14.125,63.491,21.164,190.473,211.636,1.118,0.79,7.374,558.603,6.983,7.374
Gastric,84.32,0.7,0.99,0.3,84.32,59.024,999.157,1058.181,0.056,317.454,17.707,299.747,520.45,1250.594,16.928,21.188,95.236,31.745,285.709,317.454,1.678,1.186,11.061,837.904,10.474,11.061
Gastric,84.32,0.7,0.99,0.4,84.32,59.024,999.157,1058.181,0.056,423.272,23.61,399.663,693.933,1667.459,16.928,28.25,126.982,42.327,380.945,423.272,2.237,1.581,14.748,1117.205,13.965,14.748
Gastric,84.32,0.7,0.99,0.5,84.32,59.024,999.157,1058.181,0.056,529.09,29.512,499.578,867.416,2084.324,16.928,35.313,158.727,52.909,476.181,529.09,2.796,1.976,18.435,1396.506,17.456,18.435
Gastric,84.32,0.7,0.99,0.6,84.32,59.024,999.157,1058.181,0.056,634.909,35.414,599.494,1040.899,2501.189,16.928,42.376,190.473,63.491,571.418,634.909,3.355,2.371,22.122,1675.808,20.948,22.122
Gastric,84.32,0.7,0.99,0.7,84.32,59.024,999.157,1058.181,0.056,740.727,41.317,699.41,1214.382,2918.054,16.928,49.438,222.218,74.073,666.654,740.727,3.915,2.766,25.809,1955.109,24.439,25.809
Gastric,84.32,0.7,0.99,0.8,84.32,59.024,999.157,1058.181,0.056,846.545,47.219,799.325,1387.865,3334.918,16.928,56.501,253.963,84.654,761.89,846.545,4.474,3.162,29.496,2234.41,27.93,29.496
Gastric,84.32,0.7,0.99,0.9,84.32,59.024,999.157,1058.181,0.056,952.363,53.122,899.241,1561.349,3751.783,16.928,63.564,285.709,95.236,857.127,952.363,5.033,3.557,33.183,2513.711,31.421,33.183
Gastric,84.32,0.7,0.99,1.0,84.32,59.024,999.157,1058.181,0.056,1058.181,59.024,999.157,1734.832,4168.648,16.928,70.626,317.454,105.818,952.363,1058.181,5.592,3.952,36.87,2793.013,34.913,36.87
Colorectal,123.844,0.7,0.99,0.0,123.844,86.691,998.762,1085.452,0.08,0.0,0.0,0.0,0.0,0.0,11.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorectal,123.844,0.7,0.99,0.1,123.844,86.691,998.762,1085.452,0.08,108.545,8.669,99.876,184.49,434.145,11.521,5.008,32.564,5.427,103.118,108.545,0.574,0.203,3.992,293.036,3.663,3.992
Colorectal,123.844,0.7,0.99,0.2,123.844,86.691,998.762,1085.452,0.08,217.09,17.338,199.752,368.981,868.289,11.521,10.016,65.127,10.855,206.236,217.09,1.147,0.405,7.984,586.071,7.326,7.984
Colorectal,123.844,0.7,0.99,0.3,123.844,86.691,998.762,1085.452,0.08,325.636,26.007,299.628,553.471,1302.434,11.521,15.024,97.691,16.282,309.354,325.636,1.721,0.608,11.976,879.107,10.989,11.976
Colorectal,123.844,0.7,0.99,0.4,123.844,86.691,998.762,1085.452,0.08,434.181,34.676,399.505,737.962,1736.578,11.521,20.032,130.254,21.709,412.472,434.181,2.295,0.811,15.969,1172.143,14.652,15.969
Colorectal,123.844,0.7,0.99,0.5,123.844,86.691,998.762,1085.452,0.08,542.726,43.345,499.381,922.452,2170.723,11.521,25.04,162.818,27.136,515.59,542.726,2.868,1.013,19.961,1465.179,18.315,19.961
Colorectal,123.844,0.7,0.99,0.6,123.844,86.691,998.762,1085.452,0.08,651.271,52.014,599.257,1106.943,2604.867,11.521,30.048,195.381,32.564,618.708,651.271,3.442,1.216,23.953,1758.214,21.978,23.953
Colorectal,123.844,0.7,0.99,0.7,123.844,86.691,998.762,1085.452,0.08,759.817,60.683,699.133,1291.433,3039.012,11.521,35.056,227.945,37.991,721.826,759.817,4.016,1.419,27.945,2051.25,25.641,27.945
Colorectal,123.844,0.7,0.99,0.8,123.844,86.691,998.762,1085.452,0.08,868.362,69.353,799.009,1475.924,3473.156,11.521,40.064,260.509,43.418,824.944,868.362,4.589,1.622,31.937,2344.286,29.304,31.937
Colorectal,123.844,0.7,0.99,0.9,123.844,86.691,998.762,1085.452,0.08,976.907,78.022,898.885,1660.414,3907.301,11.521,45.072,293.072,48.845,928.062,976.907,5.163,1.824,35.929,2637.321,32.967,35.929
Colorectal,123.844,0.7,0.99,1.0,123.844,86.691,998.762,1085.452,0.08,1085.452,86.691,998.762,1844.905,4341.445,11.521,50.08,325.636,54.273,1031.18,1085.452,5.737,2.027,39.922,2930.357,36.629,39.922
Lung,99.702,0.7,0.99,0.0,99.702,69.791,999.003,1068.794,0.065,0.0,0.0,0.0,0.0,0.0,14.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung,99.702,0.7,0.99,0.1,99.702,69.791,999.003,1068.794,0.065,106.879,6.979,99.9,234.696,459.143,14.314,6.579,96.191,16.032,5.344,106.879,1.695,0.599,0.207,341.576,4.27,4.27
Lung,99.702,0.7,0.99,0.2,99.702,69.791,999.003,1068.794,0.065,213.759,13.958,199.801,469.392,918.286,14.314,13.158,192.383,32.064,10.688,213.759,3.389,1.198,0.414,683.151,8.539,8.539
Lung,99.702,0.7,0.99,0.3,99.702,69.791,999.003,1068.794,0.065,320.638,20.937,299.701,704.089,1377.429,14.314,19.736,288.574,48.096,16.032,320.638,5.084,1.796,0.621,1024.727,12.809,12.809
