country,iso3,M0_dir_acc,M0_cwon_rmse,M1_dir_acc,M1_cwon_rmse,M2_dir_acc,M2_cwon_rmse,M3_dir_acc,M3_cwon_rmse,M4_dir_acc,M4_cwon_rmse
Australia,AUS,80.0,0.013401203290669328,80.0,0.00702067971613416,80.0,0.005085239087752614,80.0,0.01343092772332073,80.0,0.009728526199803092
Austria,AUT,100.0,0.003430775090331803,100.0,0.0034463653645333573,100.0,0.005318443182624399,100.0,0.003430775090331803,100.0,0.003998764372635889
Belgium,BEL,100.0,0.004400756152945699,100.0,0.004111675411952381,100.0,0.00310535858794871,100.0,0.004542768528678325,100.0,0.0047189711511698255
Canada,CAN,100.0,0.011429260856706371,100.0,0.010626394948776376,100.0,0.005147532719687754,100.0,0.011435593685986399,100.0,0.011419521015195763
Chile,CHL,100.0,0.02152915909214433,100.0,0.01968009812461908,100.0,0.012134439045096595,100.0,0.02152915909214433,100.0,0.010810701765347906
China,CHN,100.0,0.05531061044095753,100.0,0.02885611230352317,100.0,0.02510688415830072,100.0,0.05522221080901767,100.0,0.05507317750048959
Colombia,COL,100.0,0.03628097025517169,100.0,0.03391380290988425,100.0,0.0361480485524389,100.0,0.0362465098029394,100.0,0.036192280220124926
Costa Rica,CRI,100.0,0.00849623477175188,100.0,0.008461740548657934,100.0,0.008461617455232225,100.0,0.00849623477175188,100.0,0.008461740548657934
Czech Republic,CZE,100.0,0.002921265221058185,100.0,0.004796345056308653,100.0,0.004347107304744873,100.0,0.002921265221058185,100.0,0.0023497525919064857
Denmark,DNK,100.0,0.0018128476182640008,100.0,0.002812137433641691,100.0,0.007842350540011445,100.0,0.0018128476182640008,100.0,0.0039474023476072095
Estonia,EST,100.0,0.016446435390486146,100.0,0.008056243658091485,100.0,0.007352969872300985,100.0,0.016446435390486146,100.0,0.01646122909604566
Finland,FIN,100.0,0.010842291958876928,100.0,0.010862333843118396,100.0,0.0072229061424158416,100.0,0.010842291958876928,100.0,0.010862333843118396
France,FRA,100.0,0.0006172903846757657,100.0,0.0006166056132283783,100.0,0.0011616601413644207,100.0,0.0006061937716058658,100.0,0.0006059335939012541
Germany,DEU,100.0,0.00706172888897149,100.0,0.007070955814971203,100.0,0.007070955814971203,100.0,0.007023756096560615,100.0,0.008787751577325665
Greece,GRC,60.0,0.003659010919238545,60.0,0.0036521919229698333,60.0,0.003692605150463449,60.0,0.0038501886074696116,60.0,0.0038561138519742854
Hungary,HUN,100.0,0.0062486773291566345,100.0,0.006281517933555679,100.0,0.006281517933555679,100.0,0.006191248904845911,100.0,0.006218935321983471
Iceland,ISL,100.0,0.004928475647091972,100.0,0.010827744027679111,100.0,0.004790683339425714,100.0,0.004938754388037612,100.0,0.005007456269883102
Ireland,IRL,100.0,0.04000116123893093,100.0,0.07498629687939885,100.0,0.08023319361228336,100.0,0.04000116123893093,100.0,0.04002731246644465
Israel,ISR,100.0,0.02187206726767429,100.0,0.021865890044248635,100.0,0.026079195153278317,100.0,0.02187206726767429,100.0,0.022345978035894887
