origin_group,year,compartment,inflow
Anglosphere ex-US,2000,A,155
Anglosphere ex-US,2000,D,1820
Anglosphere ex-US,2000,H_A,90
Anglosphere ex-US,2000,H_D,897
Anglosphere ex-US,2000,P_A,306
Anglosphere ex-US,2000,P_D,2811
Anglosphere ex-US,2001,A,117
Anglosphere ex-US,2001,D,1324
Anglosphere ex-US,2001,H_A,61
Anglosphere ex-US,2001,H_D,588
Anglosphere ex-US,2001,P_A,156
Anglosphere ex-US,2001,P_D,1770
Anglosphere ex-US,2002,A,162
Anglosphere ex-US,2002,D,2319
Anglosphere ex-US,2002,H_A,52
Anglosphere ex-US,2002,H_D,661
Anglosphere ex-US,2002,P_A,267
Anglosphere ex-US,2002,P_D,2534
Anglosphere ex-US,2003,A,83
Anglosphere ex-US,2003,D,1582
Anglosphere ex-US,2003,H_A,50
Anglosphere ex-US,2003,H_D,556
Anglosphere ex-US,2003,P_A,129
Anglosphere ex-US,2003,P_D,1464
Anglosphere ex-US,2004,A,101
Anglosphere ex-US,2004,D,1504
Anglosphere ex-US,2004,H_A,42
Anglosphere ex-US,2004,H_D,563
Anglosphere ex-US,2004,P_A,114
Anglosphere ex-US,2004,P_D,1382
Anglosphere ex-US,2005,A,104
Anglosphere ex-US,2005,D,1576
Anglosphere ex-US,2005,H_A,55
Anglosphere ex-US,2005,H_D,649
Anglosphere ex-US,2005,P_A,121
Anglosphere ex-US,2005,P_D,1314
Anglosphere ex-US,2006,A,132
Anglosphere ex-US,2006,D,1665
Anglosphere ex-US,2006,H_A,52
Anglosphere ex-US,2006,H_D,674
Anglosphere ex-US,2006,P_A,130
Anglosphere ex-US,2006,P_D,1236
Anglosphere ex-US,2007,A,126
Anglosphere ex-US,2007,D,1512
Anglosphere ex-US,2007,H_A,63
Anglosphere ex-US,2007,H_D,637
Anglosphere ex-US,2007,P_A,101
Anglosphere ex-US,2007,P_D,1173
Anglosphere ex-US,2008,A,122
Anglosphere ex-US,2008,D,1445
Anglosphere ex-US,2008,H_A,71
Anglosphere ex-US,2008,H_D,751
Anglosphere ex-US,2008,P_A,90
Anglosphere ex-US,2008,P_D,1035
Anglosphere ex-US,2009,A,113
Anglosphere ex-US,2009,D,1490
Anglosphere ex-US,2009,H_A,55
Anglosphere ex-US,2009,H_D,636
Anglosphere ex-US,2009,P_A,105
Anglosphere ex-US,2009,P_D,990
Anglosphere ex-US,2010,A,132
Anglosphere ex-US,2010,D,1520
Anglosphere ex-US,2010,H_A,72
Anglosphere ex-US,2010,H_D,694
Anglosphere ex-US,2010,P_A,97
Anglosphere ex-US,2010,P_D,955
Anglosphere ex-US,2011,A,97
Anglosphere ex-US,2011,D,1499
Anglosphere ex-US,2011,H_A,82
Anglosphere ex-US,2011,H_D,677
Anglosphere ex-US,2011,P_A,77
Anglosphere ex-US,2011,P_D,925
Anglosphere ex-US,2012,A,139
Anglosphere ex-US,2012,D,1535
Anglosphere ex-US,2012,H_A,69
Anglosphere ex-US,2012,H_D,693
Anglosphere ex-US,2012,P_A,82
Anglosphere ex-US,2012,P_D,924
Anglosphere ex-US,2013,A,130
Anglosphere ex-US,2013,D,1543
Anglosphere ex-US,2013,H_A,89
Anglosphere ex-US,2013,H_D,761
Anglosphere ex-US,2013,P_A,95
Anglosphere ex-US,2013,P_D,949
Anglosphere ex-US,2014,A,155
Anglosphere ex-US,2014,D,1621
Anglosphere ex-US,2014,H_A,90
Anglosphere ex-US,2014,H_D,823
Anglosphere ex-US,2014,P_A,90
Anglosphere ex-US,2014,P_D,931
Anglosphere ex-US,2015,A,126
Anglosphere ex-US,2015,D,1634
Anglosphere ex-US,2015,H_A,101
Anglosphere ex-US,2015,H_D,886
Anglosphere ex-US,2015,P_A,95
Anglosphere ex-US,2015,P_D,937
Anglosphere ex-US,2016,A,120
Anglosphere ex-US,2016,D,1477
Anglosphere ex-US,2016,H_A,123
Anglosphere ex-US,2016,H_D,959
Anglosphere ex-US,2016,P_A,80
Anglosphere ex-US,2016,P_D,819
Continental Europe,2000,A,237
Continental Europe,2000,D,4619
Continental Europe,2000,H_A,128
Continental Europe,2000,H_D,2006
Continental Europe,2000,P_A,426
Continental Europe,2000,P_D,5954
Continental Europe,2001,A,134
Continental Europe,2001,D,3531
Continental Europe,2001,H_A,72
Continental Europe,2001,H_D,1247
Continental Europe,2001,P_A,192
Continental Europe,2001,P_D,3689
Continental Europe,2002,A,166
Continental Europe,2002,D,5274
Continental Europe,2002,H_A,78
Continental Europe,2002,H_D,1372
Continental Europe,2002,P_A,258
Continental Europe,2002,P_D,5042
Continental Europe,2003,A,147
Continental Europe,2003,D,3887
Continental Europe,2003,H_A,65
Continental Europe,2003,H_D,1207
Continental Europe,2003,P_A,129
Continental Europe,2003,P_D,3215
Continental Europe,2004,A,106
Continental Europe,2004,D,3752
Continental Europe,2004,H_A,54
Continental Europe,2004,H_D,1268
Continental Europe,2004,P_A,98
Continental Europe,2004,P_D,2995
Continental Europe,2005,A,126
Continental Europe,2005,D,3878
Continental Europe,2005,H_A,63
Continental Europe,2005,H_D,1439
Continental Europe,2005,P_A,150
Continental Europe,2005,P_D,3147
Continental Europe,2006,A,188
Continental Europe,2006,D,4556
Continental Europe,2006,H_A,100
Continental Europe,2006,H_D,1529
Continental Europe,2006,P_A,147
Continental Europe,2006,P_D,3220
Continental Europe,2007,A,170
Continental Europe,2007,D,4231
Continental Europe,2007,H_A,84
Continental Europe,2007,H_D,1589
Continental Europe,2007,P_A,131
Continental Europe,2007,P_D,3027
Continental Europe,2008,A,194
Continental Europe,2008,D,4682
Continental Europe,2008,H_A,112
Continental Europe,2008,H_D,1827
Continental Europe,2008,P_A,152
Continental Europe,2008,P_D,3090
Continental Europe,2009,A,178
Continental Europe,2009,D,4723
Continental Europe,2009,H_A,103
Continental Europe,2009,H_D,1780
Continental Europe,2009,P_A,125
Continental Europe,2009,P_D,2958
Continental Europe,2010,A,181
Continental Europe,2010,D,4868
Continental Europe,2010,H_A,84
Continental Europe,2010,H_D,1976
Continental Europe,2010,P_A,120
Continental Europe,2010,P_D,3087
Continental Europe,2011,A,209
Continental Europe,2011,D,4802
Continental Europe,2011,H_A,80
Continental Europe,2011,H_D,2004
Continental Europe,2011,P_A,123
Continental Europe,2011,P_D,2820
Continental Europe,2012,A,237
Continental Europe,2012,D,4834
Continental Europe,2012,H_A,91
Continental Europe,2012,H_D,2138
Continental Europe,2012,P_A,135
Continental Europe,2012,P_D,2991
Continental Europe,2013,A,220
Continental Europe,2013,D,4711
Continental Europe,2013,H_A,104
Continental Europe,2013,H_D,2103
Continental Europe,2013,P_A,131
Continental Europe,2013,P_D,2984
Continental Europe,2014,A,201
Continental Europe,2014,D,5123
Continental Europe,2014,H_A,128
Continental Europe,2014,H_D,2055
Continental Europe,2014,P_A,132
Continental Europe,2014,P_D,2793
Continental Europe,2015,A,201
Continental Europe,2015,D,4918
Continental Europe,2015,H_A,128
Continental Europe,2015,H_D,2224
Continental Europe,2015,P_A,117
Continental Europe,2015,P_D,2637
Continental Europe,2016,A,246
Continental Europe,2016,D,4808
Continental Europe,2016,H_A,132
Continental Europe,2016,H_D,2301
Continental Europe,2016,P_A,113
Continental Europe,2016,P_D,2619
Hindu,2000,A,10
Hindu,2000,D,212
Hindu,2000,H_A,3
Hindu,2000,H_D,47
Hindu,2000,P_A,18
Hindu,2000,P_D,237
Hindu,2001,A,8
Hindu,2001,D,222
Hindu,2001,H_A,4
Hindu,2001,H_D,35
Hindu,2001,P_A,8
Hindu,2001,P_D,203
Hindu,2002,A,11
Hindu,2002,D,361
Hindu,2002,H_A,3
Hindu,2002,H_D,28
Hindu,2002,P_A,16
Hindu,2002,P_D,312
Hindu,2003,A,20
Hindu,2003,D,258
Hindu,2003,H_A,2
Hindu,2003,H_D,54
Hindu,2003,P_A,8
Hindu,2003,P_D,221
Hindu,2004,A,9
Hindu,2004,D,303
Hindu,2004,H_A,3
Hindu,2004,H_D,47
Hindu,2004,P_A,6
Hindu,2004,P_D,216
Hindu,2005,A,22
Hindu,2005,D,328
Hindu,2005,H_A,6
Hindu,2005,H_D,52
Hindu,2005,P_A,16
Hindu,2005,P_D,240
Hindu,2006,A,33
Hindu,2006,D,511
Hindu,2006,H_A,7
Hindu,2006,H_D,67
Hindu,2006,P_A,23
Hindu,2006,P_D,306
Hindu,2007,A,26
Hindu,2007,D,438
Hindu,2007,H_A,12
Hindu,2007,H_D,93
Hindu,2007,P_A,13
Hindu,2007,P_D,317
Hindu,2008,A,25
Hindu,2008,D,561
Hindu,2008,H_A,13
Hindu,2008,H_D,144
Hindu,2008,P_A,16
Hindu,2008,P_D,364
Hindu,2009,A,22
Hindu,2009,D,759
Hindu,2009,H_A,7
Hindu,2009,H_D,148
Hindu,2009,P_A,21
Hindu,2009,P_D,439
Hindu,2010,A,43
Hindu,2010,D,993
Hindu,2010,H_A,11
Hindu,2010,H_D,221
Hindu,2010,P_A,35
Hindu,2010,P_D,584
Hindu,2011,A,37
Hindu,2011,D,1213
Hindu,2011,H_A,5
Hindu,2011,H_D,239
Hindu,2011,P_A,29
Hindu,2011,P_D,707
Hindu,2012,A,44
Hindu,2012,D,1440
Hindu,2012,H_A,14
Hindu,2012,H_D,290
Hindu,2012,P_A,38
Hindu,2012,P_D,985
Hindu,2013,A,59
Hindu,2013,D,1420
Hindu,2013,H_A,16
Hindu,2013,H_D,310
Hindu,2013,P_A,35
Hindu,2013,P_D,903
Hindu,2014,A,37
Hindu,2014,D,1760
Hindu,2014,H_A,13
Hindu,2014,H_D,363
Hindu,2014,P_A,31
Hindu,2014,P_D,1119
Hindu,2015,A,47
Hindu,2015,D,1884
Hindu,2015,H_A,16
Hindu,2015,H_D,491
Hindu,2015,P_A,31
Hindu,2015,P_D,1134
Hindu,2016,A,40
Hindu,2016,D,2074
Hindu,2016,H_A,20
Hindu,2016,H_D,609
Hindu,2016,P_A,26
Hindu,2016,P_D,1254
Islamic,2000,A,21
Islamic,2000,D,286
Islamic,2000,H_A,5
Islamic,2000,H_D,45
Islamic,2000,P_A,19
Islamic,2000,P_D,288
Islamic,2001,A,11
Islamic,2001,D,238
Islamic,2001,H_A,3
Islamic,2001,H_D,38
Islamic,2001,P_A,23
Islamic,2001,P_D,221
Islamic,2002,A,33
Islamic,2002,D,520
Islamic,2002,H_A,9
Islamic,2002,H_D,53
Islamic,2002,P_A,42
Islamic,2002,P_D,435
Islamic,2003,A,23
Islamic,2003,D,399
Islamic,2003,H_A,10
Islamic,2003,H_D,54
Islamic,2003,P_A,15
Islamic,2003,P_D,352
Islamic,2004,A,32
Islamic,2004,D,550
Islamic,2004,H_A,5
Islamic,2004,H_D,71
Islamic,2004,P_A,23
Islamic,2004,P_D,413
Islamic,2005,A,30
Islamic,2005,D,612
Islamic,2005,H_A,7
Islamic,2005,H_D,87
Islamic,2005,P_A,31
Islamic,2005,P_D,493
Islamic,2006,A,47
Islamic,2006,D,896
Islamic,2006,H_A,5
Islamic,2006,H_D,116
Islamic,2006,P_A,26
Islamic,2006,P_D,630
Islamic,2007,A,53
Islamic,2007,D,949
Islamic,2007,H_A,14
Islamic,2007,H_D,162
Islamic,2007,P_A,31
Islamic,2007,P_D,663
Islamic,2008,A,48
Islamic,2008,D,1311
Islamic,2008,H_A,13
Islamic,2008,H_D,232
Islamic,2008,P_A,26
Islamic,2008,P_D,824
Islamic,2009,A,62
Islamic,2009,D,1493
Islamic,2009,H_A,9
Islamic,2009,H_D,303
Islamic,2009,P_A,21
Islamic,2009,P_D,1009
Islamic,2010,A,70
Islamic,2010,D,1791
Islamic,2010,H_A,15
Islamic,2010,H_D,354
Islamic,2010,P_A,51
Islamic,2010,P_D,1166
Islamic,2011,A,80
Islamic,2011,D,1946
Islamic,2011,H_A,14
Islamic,2011,H_D,465
Islamic,2011,P_A,40
Islamic,2011,P_D,1311
Islamic,2012,A,93
Islamic,2012,D,2371
Islamic,2012,H_A,24
Islamic,2012,H_D,412
Islamic,2012,P_A,50
Islamic,2012,P_D,1699
Islamic,2013,A,98
Islamic,2013,D,2593
Islamic,2013,H_A,31
Islamic,2013,H_D,533
Islamic,2013,P_A,54
Islamic,2013,P_D,1802
Islamic,2014,A,110
Islamic,2014,D,2955
Islamic,2014,H_A,23
Islamic,2014,H_D,609
Islamic,2014,P_A,55
Islamic,2014,P_D,1960
Islamic,2015,A,99
Islamic,2015,D,3367
Islamic,2015,H_A,52
Islamic,2015,H_D,748
Islamic,2015,P_A,47
Islamic,2015,P_D,2263
Islamic,2016,A,111
Islamic,2016,D,3432
Islamic,2016,H_A,30
Islamic,2016,H_D,950
Islamic,2016,P_A,64
Islamic,2016,P_D,2705
Japanese,2000,A,83
Japanese,2000,D,1373
Japanese,2000,H_A,26
Japanese,2000,H_D,261
Japanese,2000,P_A,87
Japanese,2000,P_D,1111
Japanese,2001,A,64
Japanese,2001,D,1113
Japanese,2001,H_A,16
Japanese,2001,H_D,162
Japanese,2001,P_A,39
Japanese,2001,P_D,748
Japanese,2002,A,97
Japanese,2002,D,2214
Japanese,2002,H_A,13
Japanese,2002,H_D,293
Japanese,2002,P_A,81
Japanese,2002,P_D,1446
Japanese,2003,A,49
Japanese,2003,D,1319
Japanese,2003,H_A,6
Japanese,2003,H_D,163
Japanese,2003,P_A,25
Japanese,2003,P_D,623
Japanese,2004,A,43
Japanese,2004,D,1021
Japanese,2004,H_A,8
Japanese,2004,H_D,164
Japanese,2004,P_A,33
Japanese,2004,P_D,431
Japanese,2005,A,53
Japanese,2005,D,1211
Japanese,2005,H_A,15
Japanese,2005,H_D,172
Japanese,2005,P_A,31
Japanese,2005,P_D,549
Japanese,2006,A,56
Japanese,2006,D,1176
Japanese,2006,H_A,10
Japanese,2006,H_D,191
