year,origin_group,destination_group,new_flow
2000,Other Western,Unknown,1
2000,Sinic,Unknown,1
2002,Anglosphere ex-US,Anglosphere ex-US,1
2002,Hindu,Hindu,1
2002,United States,Anglosphere ex-US,1
2003,Anglosphere ex-US,Unknown,1
2003,Continental Europe,Islamic,1
2003,Continental Europe,Unknown,2
2003,Hindu,Hindu,1
2004,Anglosphere ex-US,Sinic,1
2004,Continental Europe,Continental Europe,1
2004,Other Civilizations,Other Civilizations,1
2004,Sinic,Sinic,1
2004,United States,Hindu,1
2004,United States,United States,1
2005,Anglosphere ex-US,Other Civilizations,1
2005,Other Civilizations,Japanese,1
2005,Other Western,Unknown,1
2005,Sinic,Sinic,1
2005,United States,Other Western,1
2005,United States,Sinic,1
2005,United States,Unknown,1
2006,Anglosphere ex-US,Anglosphere ex-US,2
2006,Continental Europe,Continental Europe,1
2006,Hindu,Hindu,1
2006,Islamic,Islamic,1
2006,Sinic,Sinic,1
2006,United States,Continental Europe,1
2006,United States,Other Western,1
2007,Anglosphere ex-US,Anglosphere ex-US,1
2007,Anglosphere ex-US,Continental Europe,1
2007,Anglosphere ex-US,Other Western,1
2007,Continental Europe,Anglosphere ex-US,1
2007,Continental Europe,Continental Europe,1
2007,Japanese,Sinic,1
2007,Other Western,Other Western,1
2007,Sinic,United States,1
2007,United States,Other Western,1
2008,Anglosphere ex-US,Unknown,1
2008,Continental Europe,Continental Europe,2
2008,Continental Europe,Other Western,1
2008,Islamic,Islamic,1
2008,Japanese,Japanese,1
2008,Other Western,Other Western,1
2008,United States,Sinic,1
2009,Anglosphere ex-US,Continental Europe,2
2009,Anglosphere ex-US,Other Civilizations,1
2009,Japanese,Japanese,1
2009,Other Civilizations,Other Civilizations,1
2009,Sinic,Sinic,1
2010,Anglosphere ex-US,Anglosphere ex-US,1
2010,Anglosphere ex-US,Continental Europe,1
2010,Anglosphere ex-US,Japanese,1
2010,Continental Europe,Anglosphere ex-US,1
2010,United States,Other Western,1
2011,Continental Europe,Continental Europe,1
2011,Continental Europe,Other Civilizations,1
2011,Other Western,Other Western,1
2011,Sinic,Sinic,2
2012,Anglosphere ex-US,Islamic,1
2012,Continental Europe,Anglosphere ex-US,1
2012,Continental Europe,Continental Europe,1
2012,Continental Europe,Other Western,2
2012,Hindu,Hindu,1
2013,Japanese,Japanese,1
2013,Sinic,Sinic,2
2013,United States,Continental Europe,1
2013,United States,Hindu,2
2014,Continental Europe,Anglosphere ex-US,1
2014,Continental Europe,Continental Europe,1
2014,Japanese,Sinic,1
2014,Other Civilizations,Continental Europe,1
2014,Other Civilizations,Other Civilizations,1
2014,Other Western,Continental Europe,1
2014,United States,Other Western,1
2014,United States,United States,1
2015,Anglosphere ex-US,Anglosphere ex-US,1
2015,Continental Europe,Other Civilizations,1
2015,Continental Europe,Sinic,1
2015,Islamic,Islamic,2
2015,Other Western,Other Western,1
2015,Sinic,Anglosphere ex-US,1
2015,Sinic,Sinic,3
2015,United States,Continental Europe,1
2016,Anglosphere ex-US,Anglosphere ex-US,1
2016,Continental Europe,Continental Europe,2
2016,Other Civilizations,Unknown,1
2016,Sinic,Sinic,1
2016,Sinic,United States,1
2016,United States,Hindu,2
2016,United States,United States,1
2017,Hindu,Hindu,1
2017,United States,United States,1
2017,United States,Unknown,1
2018,Continental Europe,Anglosphere ex-US,1
2018,Continental Europe,Continental Europe,1
2018,Hindu,United States,2
2018,Islamic,Islamic,1
2018,Japanese,Other Western,1
2018,Other Western,Other Western,3
2018,Sinic,Islamic,1
2018,United States,United States,1
2018,United States,Unknown,1
2019,Anglosphere ex-US,Anglosphere ex-US,1
2019,Anglosphere ex-US,Sinic,1
2019,Continental Europe,Anglosphere ex-US,1
2019,Islamic,Anglosphere ex-US,1
2019,Other Civilizations,Other Civilizations,1
2019,Sinic,Sinic,1
2019,United States,Sinic,1
2020,Continental Europe,United States,1
2020,Islamic,Continental Europe,1
2020,Islamic,Other Civilizations,1
2020,Japanese,Other Civilizations,1
2020,Other Western,Continental Europe,1
2020,United States,Continental Europe,1
2020,United States,United States,1
2021,Islamic,Islamic,2
2021,United States,Continental Europe,1
2021,United States,Hindu,1
2021,United States,Islamic,1
2021,United States,Sinic,1
2021,United States,United States,1
2022,Continental Europe,Sinic,1
2022,Sinic,Sinic,1
