year,origin_group,destination_group,compartment,count
2000,Anglosphere ex-US,Continental Europe,P_A,1
2000,Sinic,Sinic,P_A,1
2000,Sinic,Unknown,P_A,1
2000,United States,Unknown,A,1
2000,United States,Unknown,H_A,1
2000,United States,Unknown,P_A,2
2001,Anglosphere ex-US,Anglosphere ex-US,A,1
2001,Anglosphere ex-US,Anglosphere ex-US,P_A,1
2001,Anglosphere ex-US,Continental Europe,P_A,1
2001,Anglosphere ex-US,Unknown,A,1
2001,Continental Europe,Hindu,H_A,1
2001,Other Western,Unknown,A,1
2001,Sinic,Sinic,P_A,1
2001,Sinic,Unknown,P_A,1
2001,United States,Sinic,P_A,1
2001,United States,Unknown,A,2
2001,United States,Unknown,H_A,1
2001,United States,Unknown,P_A,2
2002,Anglosphere ex-US,Anglosphere ex-US,H_A,1
2002,Anglosphere ex-US,Anglosphere ex-US,P_A,2
2002,Anglosphere ex-US,Continental Europe,P_A,1
2002,Anglosphere ex-US,Other Western,P_A,1
2002,Anglosphere ex-US,Unknown,P_A,1
2002,Continental Europe,Continental Europe,A,2
2002,Continental Europe,Continental Europe,H_A,1
2002,Continental Europe,Continental Europe,P_A,2
2002,Continental Europe,Hindu,H_A,1
2002,Continental Europe,United States,A,1
2002,Continental Europe,Unknown,P_A,1
2002,Hindu,Hindu,A,1
2002,Hindu,Hindu,P_A,1
2002,Islamic,Islamic,A,1
2002,Japanese,Islamic,A,1
2002,Japanese,Japanese,A,1
2002,Japanese,Japanese,H_A,1
2002,Other Civilizations,Other Civilizations,A,1
2002,Other Western,Unknown,A,1
2002,Sinic,Sinic,P_A,1
2002,Sinic,Unknown,P_A,1
2002,United States,Anglosphere ex-US,P_A,1
2002,United States,Other Western,H_A,1
2002,United States,Sinic,P_A,1
2002,United States,Unknown,A,2
2002,United States,Unknown,P_A,3
2003,Anglosphere ex-US,Anglosphere ex-US,A,1
2003,Anglosphere ex-US,Anglosphere ex-US,H_A,1
2003,Anglosphere ex-US,Anglosphere ex-US,P_A,3
2003,Anglosphere ex-US,Continental Europe,P_A,1
2003,Anglosphere ex-US,Other Western,P_A,1
2003,Anglosphere ex-US,Sinic,A,1
2003,Anglosphere ex-US,Unknown,A,1
2003,Anglosphere ex-US,Unknown,H_A,1
2003,Anglosphere ex-US,Unknown,P_A,1
2003,Continental Europe,Continental Europe,A,2
2003,Continental Europe,Continental Europe,H_A,1
2003,Continental Europe,Continental Europe,P_A,3
2003,Continental Europe,Hindu,H_A,1
2003,Continental Europe,Islamic,P_A,1
2003,Continental Europe,United States,A,1
2003,Continental Europe,Unknown,A,1
2003,Continental Europe,Unknown,H_A,1
2003,Continental Europe,Unknown,P_A,1
2003,Hindu,Hindu,A,1
2003,Hindu,Hindu,H_A,1
2003,Hindu,Hindu,P_A,1
2003,Islamic,Islamic,A,1
2003,Japanese,Islamic,A,1
2003,Japanese,Japanese,A,1
2003,Japanese,Japanese,H_A,1
2003,Other Civilizations,Other Civilizations,P_A,3
2003,Other Western,Other Western,P_A,1
2003,Other Western,Unknown,H_A,1
2003,Sinic,Sinic,P_A,1
2003,Sinic,Unknown,P_A,1
2003,United States,Anglosphere ex-US,P_A,2
2003,United States,Continental Europe,A,1
2003,United States,Other Western,A,1
2003,United States,Other Western,P_A,1
2003,United States,Sinic,P_A,3
2003,United States,Unknown,A,2
2003,United States,Unknown,P_A,3
2004,Anglosphere ex-US,Anglosphere ex-US,A,1
2004,Anglosphere ex-US,Anglosphere ex-US,H_A,2
2004,Anglosphere ex-US,Anglosphere ex-US,P_A,2
2004,Anglosphere ex-US,Continental Europe,P_A,2
2004,Anglosphere ex-US,Other Western,P_A,1
2004,Anglosphere ex-US,Sinic,A,1
2004,Anglosphere ex-US,Sinic,H_A,1
2004,Anglosphere ex-US,Sinic,P_A,1
2004,Anglosphere ex-US,United States,P_A,1
2004,Anglosphere ex-US,Unknown,H_A,1
