origin_group,year,from,to,count
Anglosphere ex-US,2000,D,D,1
Anglosphere ex-US,2000,H_D,H_D,2
Anglosphere ex-US,2001,D,H_D,1
Anglosphere ex-US,2001,H_D,H_D,3
Anglosphere ex-US,2002,H_A,H_A,1
Anglosphere ex-US,2002,H_D,H_D,4
Anglosphere ex-US,2003,D,D,2
Anglosphere ex-US,2003,D,H_D,2
Anglosphere ex-US,2003,H_A,H_A,1
Anglosphere ex-US,2003,H_D,H_D,5
Anglosphere ex-US,2004,D,D,3
Anglosphere ex-US,2004,H_A,H_A,1
Anglosphere ex-US,2004,H_A,H_D,1
Anglosphere ex-US,2004,H_D,H_D,7
Anglosphere ex-US,2005,A,A,1
Anglosphere ex-US,2005,D,D,4
Anglosphere ex-US,2005,H_A,H_A,1
Anglosphere ex-US,2005,H_D,H_D,9
Anglosphere ex-US,2005,P_D,P_D,1
Anglosphere ex-US,2006,A,A,1
Anglosphere ex-US,2006,A,H_A,1
Anglosphere ex-US,2006,D,D,3
Anglosphere ex-US,2006,D,H_D,2
Anglosphere ex-US,2006,H_A,H_A,1
Anglosphere ex-US,2006,H_D,H_D,9
Anglosphere ex-US,2006,P_D,P_D,1
Anglosphere ex-US,2007,A,A,1
Anglosphere ex-US,2007,D,D,3
Anglosphere ex-US,2007,H_A,H_A,2
Anglosphere ex-US,2007,H_D,H_D,12
Anglosphere ex-US,2007,P_D,P_D,1
Anglosphere ex-US,2008,A,A,1
Anglosphere ex-US,2008,D,D,1
Anglosphere ex-US,2008,D,H_A,1
Anglosphere ex-US,2008,D,H_D,1
Anglosphere ex-US,2008,H_A,H_A,2
Anglosphere ex-US,2008,H_D,H_A,1
Anglosphere ex-US,2008,H_D,H_D,11
Anglosphere ex-US,2008,P_D,P_D,1
Anglosphere ex-US,2009,A,H_A,1
Anglosphere ex-US,2009,D,D,1
Anglosphere ex-US,2009,H_A,H_A,4
Anglosphere ex-US,2009,H_D,H_D,10
Anglosphere ex-US,2009,H_D,P_D,2
Anglosphere ex-US,2009,P_D,P_D,1
Anglosphere ex-US,2010,D,D,2
Anglosphere ex-US,2010,H_A,H_A,6
Anglosphere ex-US,2010,H_D,H_D,10
Anglosphere ex-US,2010,P_D,P_D,3
Anglosphere ex-US,2011,D,D,2
Anglosphere ex-US,2011,D,H_D,2
Anglosphere ex-US,2011,H_A,H_A,6
Anglosphere ex-US,2011,H_D,H_D,9
Anglosphere ex-US,2011,H_D,P_D,1
Anglosphere ex-US,2011,P_D,P_D,3
Anglosphere ex-US,2012,D,D,2
Anglosphere ex-US,2012,H_A,H_A,6
Anglosphere ex-US,2012,H_D,H_D,10
Anglosphere ex-US,2012,H_D,P_D,1
Anglosphere ex-US,2012,P_D,P_D,4
Anglosphere ex-US,2013,D,D,3
Anglosphere ex-US,2013,H_A,H_A,5
Anglosphere ex-US,2013,H_A,P_A,1
Anglosphere ex-US,2013,H_D,H_D,10
Anglosphere ex-US,2013,P_D,P_D,5
Anglosphere ex-US,2014,D,D,2
Anglosphere ex-US,2014,D,H_D,1
Anglosphere ex-US,2014,H_A,H_A,5
Anglosphere ex-US,2014,H_D,H_D,10
Anglosphere ex-US,2014,P_A,P_A,1
Anglosphere ex-US,2014,P_D,P_D,5
Anglosphere ex-US,2015,D,D,3
Anglosphere ex-US,2015,H_A,H_A,4
Anglosphere ex-US,2015,H_A,P_A,1
Anglosphere ex-US,2015,H_D,H_D,10
Anglosphere ex-US,2015,H_D,P_A,1
Anglosphere ex-US,2015,P_A,P_A,1
Anglosphere ex-US,2015,P_D,P_D,5
Anglosphere ex-US,2016,D,D,4
Anglosphere ex-US,2016,H_A,H_A,4
Anglosphere ex-US,2016,H_D,H_D,10
Anglosphere ex-US,2016,P_A,P_A,3
Anglosphere ex-US,2016,P_D,P_A,1
Anglosphere ex-US,2016,P_D,P_D,4
Anglosphere ex-US,2017,D,D,3
Anglosphere ex-US,2017,D,H_D,1
Anglosphere ex-US,2017,H_A,H_A,4
Anglosphere ex-US,2017,H_D,H_D,10
Anglosphere ex-US,2017,P_A,P_A,4
Anglosphere ex-US,2017,P_D,P_D,4
Anglosphere ex-US,2018,D,D,2
Anglosphere ex-US,2018,D,H_D,1
Anglosphere ex-US,2018,H_A,H_A,3
Anglosphere ex-US,2018,H_A,P_D,1
Anglosphere ex-US,2018,H_D,H_D,10
Anglosphere ex-US,2018,H_D,P_D,1
Anglosphere ex-US,2018,P_A,P_A,4
Anglosphere ex-US,2018,P_D,P_D,4
Anglosphere ex-US,2019,D,D,2
Anglosphere ex-US,2019,H_A,H_A,3
Anglosphere ex-US,2019,H_D,H_A,1
Anglosphere ex-US,2019,H_D,H_D,10
Anglosphere ex-US,2019,P_A,P_A,4
Anglosphere ex-US,2019,P_D,P_D,6
Anglosphere ex-US,2020,D,D,2
Anglosphere ex-US,2020,H_A,H_A,4
Anglosphere ex-US,2020,H_D,H_D,10
Anglosphere ex-US,2020,P_A,P_A,4
Anglosphere ex-US,2020,P_D,P_D,6
Anglosphere ex-US,2021,D,D,2
Anglosphere ex-US,2021,H_A,H_A,3
Anglosphere ex-US,2021,H_A,P_A,1
