origin_group,year,from,to,count,stock,prob
Anglosphere ex-US,2000,D,D,1,1,0.3333333333333333
Anglosphere ex-US,2000,H_D,H_D,2,2,0.45454545454545453
Anglosphere ex-US,2001,D,H_D,1,1,0.3333333333333333
Anglosphere ex-US,2001,H_D,H_D,3,3,0.5384615384615384
Anglosphere ex-US,2002,H_A,H_A,1,1,0.3333333333333333
Anglosphere ex-US,2002,H_D,H_D,4,4,0.6
Anglosphere ex-US,2003,D,D,2,4,0.3333333333333333
Anglosphere ex-US,2003,D,H_D,2,4,0.3333333333333333
Anglosphere ex-US,2003,H_A,H_A,1,1,0.3333333333333333
Anglosphere ex-US,2003,H_D,H_D,5,5,0.6470588235294118
Anglosphere ex-US,2004,D,D,3,3,0.5384615384615384
Anglosphere ex-US,2004,H_A,H_A,1,2,0.2727272727272727
Anglosphere ex-US,2004,H_A,H_D,1,2,0.2727272727272727
Anglosphere ex-US,2004,H_D,H_D,7,7,0.7142857142857143
Anglosphere ex-US,2005,A,A,1,1,0.3333333333333333
Anglosphere ex-US,2005,D,D,4,4,0.6
Anglosphere ex-US,2005,H_A,H_A,1,1,0.3333333333333333
Anglosphere ex-US,2005,H_D,H_D,9,9,0.76
Anglosphere ex-US,2005,P_D,P_D,1,1,0.3333333333333333
Anglosphere ex-US,2006,A,A,1,2,0.2727272727272727
Anglosphere ex-US,2006,A,H_A,1,2,0.2727272727272727
Anglosphere ex-US,2006,D,D,3,5,0.4117647058823529
Anglosphere ex-US,2006,D,H_D,2,5,0.29411764705882354
Anglosphere ex-US,2006,H_A,H_A,1,1,0.3333333333333333
Anglosphere ex-US,2006,H_D,H_D,9,9,0.76
Anglosphere ex-US,2006,P_D,P_D,1,1,0.3333333333333333
Anglosphere ex-US,2007,A,A,1,1,0.3333333333333333
Anglosphere ex-US,2007,D,D,3,3,0.5384615384615384
Anglosphere ex-US,2007,H_A,H_A,2,2,0.45454545454545453
Anglosphere ex-US,2007,H_D,H_D,12,12,0.8064516129032258
Anglosphere ex-US,2007,P_D,P_D,1,1,0.3333333333333333
Anglosphere ex-US,2008,A,A,1,1,0.3333333333333333
Anglosphere ex-US,2008,D,D,1,3,0.23076923076923078
Anglosphere ex-US,2008,D,H_A,1,3,0.23076923076923078
Anglosphere ex-US,2008,D,H_D,1,3,0.23076923076923078
Anglosphere ex-US,2008,H_A,H_A,2,2,0.45454545454545453
Anglosphere ex-US,2008,H_D,H_A,1,12,0.0967741935483871
Anglosphere ex-US,2008,H_D,H_D,11,12,0.7419354838709677
Anglosphere ex-US,2008,P_D,P_D,1,1,0.3333333333333333
Anglosphere ex-US,2009,A,H_A,1,1,0.3333333333333333
Anglosphere ex-US,2009,D,D,1,1,0.3333333333333333
Anglosphere ex-US,2009,H_A,H_A,4,4,0.6
Anglosphere ex-US,2009,H_D,H_D,10,12,0.6774193548387096
Anglosphere ex-US,2009,H_D,P_D,2,12,0.16129032258064516
Anglosphere ex-US,2009,P_D,P_D,1,1,0.3333333333333333
Anglosphere ex-US,2010,D,D,2,2,0.45454545454545453
Anglosphere ex-US,2010,H_A,H_A,6,6,0.6842105263157895
Anglosphere ex-US,2010,H_D,H_D,10,10,0.7777777777777778
Anglosphere ex-US,2010,P_D,P_D,3,3,0.5384615384615384
Anglosphere ex-US,2011,D,D,2,4,0.3333333333333333
Anglosphere ex-US,2011,D,H_D,2,4,0.3333333333333333
Anglosphere ex-US,2011,H_A,H_A,6,6,0.6842105263157895
Anglosphere ex-US,2011,H_D,H_D,9,10,0.7037037037037037
Anglosphere ex-US,2011,H_D,P_D,1,10,0.1111111111111111
Anglosphere ex-US,2011,P_D,P_D,3,3,0.5384615384615384
Anglosphere ex-US,2012,D,D,2,2,0.45454545454545453
Anglosphere ex-US,2012,H_A,H_A,6,6,0.6842105263157895
Anglosphere ex-US,2012,H_D,H_D,10,11,0.7241379310344828
Anglosphere ex-US,2012,H_D,P_D,1,11,0.10344827586206896
Anglosphere ex-US,2012,P_D,P_D,4,4,0.6
Anglosphere ex-US,2013,D,D,3,3,0.5384615384615384
Anglosphere ex-US,2013,H_A,H_A,5,6,0.5789473684210527
Anglosphere ex-US,2013,H_A,P_A,1,6,0.15789473684210525
Anglosphere ex-US,2013,H_D,H_D,10,10,0.7777777777777778
Anglosphere ex-US,2013,P_D,P_D,5,5,0.6470588235294118
Anglosphere ex-US,2014,D,D,2,3,0.38461538461538464
Anglosphere ex-US,2014,D,H_D,1,3,0.23076923076923078
Anglosphere ex-US,2014,H_A,H_A,5,5,0.6470588235294118
Anglosphere ex-US,2014,H_D,H_D,10,10,0.7777777777777778
Anglosphere ex-US,2014,P_A,P_A,1,1,0.3333333333333333
Anglosphere ex-US,2014,P_D,P_D,5,5,0.6470588235294118
Anglosphere ex-US,2015,D,D,3,3,0.5384615384615384
Anglosphere ex-US,2015,H_A,H_A,4,5,0.5294117647058824
Anglosphere ex-US,2015,H_A,P_A,1,5,0.17647058823529413
Anglosphere ex-US,2015,H_D,H_D,10,11,0.7241379310344828
