origin_group,year,compartment,count_proj,count_obs,error,ape
United States,2017,D,1.9294944844221535,2,-0.07050551557784646,0.02350183852594882
United States,2017,A,1.8717696725535624,2,-0.1282303274464376,0.042743442482145864
United States,2017,H_D,28.585698411203982,28,0.5856984112039818,0.02019649693806834
United States,2017,H_A,3.6661764787555886,5,-1.3338235212444114,0.2223039202074019
United States,2017,P_D,8.40545056400383,8,0.4054505640038304,0.045050062667092265
United States,2017,P_A,1.6438495054989373,1,0.6438495054989373,0.32192475274946863
Anglosphere ex-US,2017,D,3.1516122685993264,4,-0.8483877314006736,0.1696775462801347
Anglosphere ex-US,2017,H_D,10.624118283549468,10,0.6241182835494676,0.05673802577722433
Anglosphere ex-US,2017,H_A,3.4081924267682786,4,-0.5918075732317214,0.11836151464634428
Anglosphere ex-US,2017,P_D,6.4550386786204355,4,2.4550386786204355,0.49100773572408707
Anglosphere ex-US,2017,P_A,3.6687306501547985,4,-0.3312693498452015,0.0662538699690403
Continental Europe,2017,D,7.283278628009369,10,-2.716721371990631,0.24697467018096644
Continental Europe,2017,A,1.9348175130923009,1,0.9348175130923009,0.46740875654615044
Continental Europe,2017,H_D,22.253572620042867,20,2.253572620042867,0.10731298190680319
Continental Europe,2017,H_A,2.0,2,0.0,0.0
Continental Europe,2017,P_D,13.60551105085964,13,0.60551105085964,0.04325078934711714
Continental Europe,2017,P_A,1.0,1,0.0,0.0
Sinic,2017,D,10.731935655483351,12,-1.2680643445166488,0.0975434111166653
Sinic,2017,A,0.5599789915966464,1,-0.44002100840335356,0.22001050420167678
Sinic,2017,H_D,23.781309187908526,22,1.7813091879085263,0.07744822556124027
Sinic,2017,H_A,2.0574579831932924,2,0.05745798319329243,0.01915266106443081
Sinic,2017,P_D,4.181818181818182,4,0.18181818181818166,0.036363636363636334
Japanese,2017,D,4.430326702073478,5,-0.5696732979265224,0.09494554965442041
Japanese,2017,H_D,10.72090419855513,11,-0.27909580144486945,0.023257983453739122
Japanese,2017,H_A,0.8770491803279015,1,-0.12295081967209853,0.061475409836049266
Japanese,2017,P_D,7.090972127831642,6,1.090972127831642,0.155853161118806
Hindu,2017,D,6.396041273752944,8,-1.6039587262470558,0.17821763624967288
Hindu,2017,H_D,14.413154128545905,13,1.413154128545905,0.10093958061042178
Hindu,2017,P_D,4.657471264367816,4,0.6574712643678158,0.13149425287356314
Hindu,2017,P_A,0.6666666666666667,1,-0.33333333333333326,0.16666666666666663
Islamic,2017,D,7.345167031833503,7,0.34516703183350295,0.04314587897918787
Islamic,2017,A,0.9187828075190425,1,-0.08121719248095749,0.040608596240478745
Islamic,2017,H_D,11.396102286908265,11,0.3961022869082651,0.03300852390902209
Islamic,2017,H_A,0.9187828075190425,1,-0.08121719248095749,0.040608596240478745
