rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.1146450205765169,20.0,2.292900411530338,1411.253327393325,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
beta,0.0410742165209008,0.001,4.10742165209008e-05,714.6742310833199,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
h_D,0.1191787848529514,0.001,0.0001191787848529514,1308.1818711054216,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
h_A,0.2307283363122913,0.001,0.0002307283363122913,1488.100361812004,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
p_D,0.1535056728662697,0.001,0.00015350567286626972,1040.1903614043913,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
p_A,0.2005436529035032,0.001,0.0002005436529035032,1700.8251174868392,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
d,0.0103056227617407,6.308718532785901,0.06501527330889377,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
r,0.006311720415396849,0.001,6.311720415396849e-06,867.9558504854587,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
I0,9.945942690628726,0.06903484788418929,0.6866166407124185,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_active,1735.0437450603918,119.77848101265822
alpha,0.1146450205765169,20.0,2.292900411530338,1379.1584289851312,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
beta,0.0410742165209008,0.001,4.10742165209008e-05,616.732777644734,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
h_D,0.1191787848529514,0.001,0.0001191787848529514,1135.4347001646688,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
h_A,0.2307283363122913,0.001,0.0002307283363122913,1284.0804691002493,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
p_D,0.1535056728662697,0.001,0.00015350567286626972,313.6395732232417,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
p_A,0.2005436529035032,0.001,0.0002005436529035032,1513.6338764174177,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
d,0.0103056227617407,4.288918308765292,0.04419997414605802,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
r,0.006311720415396849,0.001,6.311720415396849e-06,788.288889118453,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
I0,9.945942690628726,0.076011727344608,0.7560082839851676,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,1735.0437450603918,119.77848101265822
alpha,0.0615102797866931,20.0,1.230205595733862,2311.99680127969,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
beta,0.060077386042893,0.001,6.0077386042893e-05,1770.1969177914227,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
h_D,0.1334144102432743,0.001,0.0001334144102432743,1963.2019543584238,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
h_A,0.2231660723622205,0.001,0.0002231660723622205,2774.2016465237098,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
p_D,0.1249331711643351,0.001,0.0001249331711643351,1623.8443185947779,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
p_A,0.1646426118438141,0.001,0.0001646426118438141,2919.4221905646527,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
d,0.0157231640200902,10.85070143766859,0.1706073584374918,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
r,0.010148171942773843,0.001,1.0148171942773843e-05,1486.8406191526133,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
I0,24.973061901682044,0.043425562106926295,1.0844692506116085,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_active,2972.1943976843745,129.0692124105012
alpha,0.0615102797866931,20.0,1.230205595733862,2163.606479933637,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
beta,0.060077386042893,0.001,6.0077386042893e-05,1407.0587978881204,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
h_D,0.1334144102432743,0.001,0.0001334144102432743,1323.6545745844,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
h_A,0.2231660723622205,0.001,0.0002231660723622205,2204.760001763501,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
p_D,0.1249331711643351,0.001,0.0001249331711643351,228.09685002628186,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
p_A,0.1646426118438141,0.001,0.0001646426118438141,2373.457363499727,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
d,0.0157231640200902,4.824036251237233,0.07584911321706408,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
r,0.010148171942773843,0.001,1.0148171942773843e-05,1231.0372163529705,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
I0,24.973061901682044,0.052449177646632206,1.3098165600616642,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_PIs,2972.1943976843745,129.0692124105012
alpha,0.0321852107025557,20.0,0.643704214051114,2778.840605952972,False,-1,no_crossing_in_scanned_range,Hindu,domestic_active,3039.302150854492,66.04072398190046
beta,0.0838329190404443,0.001,8.383291904044431e-05,1892.5251365271274,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,3039.302150854492,66.04072398190046
h_D,0.091134898723251,0.001,9.113489872325101e-05,2256.362952524953,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,3039.302150854492,66.04072398190046
h_A,0.1767116669135006,0.001,0.0001767116669135006,2961.746269755396,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,3039.302150854492,66.04072398190046
p_D,0.1606129885368202,0.001,0.00016061298853682022,1629.4639848374468,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,3039.302150854492,66.04072398190046
p_A,0.1512455694212243,0.001,0.0001512455694212243,3024.412810170715,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,3039.302150854492,66.04072398190046
d,0.0072251737915665,20.0,0.14450347583133,71.9766265078458,False,-1,no_crossing_in_scanned_range,Hindu,domestic_active,3039.302150854492,66.04072398190046
