rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
r,0.008045184002867245,243.15817646682126,1.010101010061021,Anglosphere ex-US,domestic_active,119.77848101265822
I0,1.699820950502218,243.13386064927084,1.0000000000000047,Anglosphere ex-US,domestic_active,119.77848101265822
beta,0.0526093095896779,241.19644317760302,0.19517929705100348,Anglosphere ex-US,domestic_active,119.77848101265822
h_D,0.095267506505862,241.0088260396443,0.11724144469581531,Anglosphere ex-US,domestic_active,119.77848101265822
p_D,0.1002718264517516,240.87924908057113,0.06341400646305642,Anglosphere ex-US,domestic_active,119.77848101265822
h_A,0.2997369090997963,240.7995358762615,0.030300421980119185,Anglosphere ex-US,domestic_active,119.77848101265822
p_A,0.2029681625148947,240.75331109404098,0.011098230266447164,Anglosphere ex-US,domestic_active,119.77848101265822
alpha,0.1527151219790258,240.55216020139176,-0.07246166592949455,Anglosphere ex-US,domestic_active,119.77848101265822
d,0.0123968639619005,235.20199275238457,-2.2949695095787357,Anglosphere ex-US,domestic_active,119.77848101265822
r,0.008045184002867245,213.41846978431275,1.0101010100610202,Anglosphere ex-US,domestic_PIs,119.77848101265822
I0,1.699820950502218,213.39712793741882,1.0000000000000069,Anglosphere ex-US,domestic_PIs,119.77848101265822
beta,0.0526093095896779,211.68256747893227,0.18850544999872781,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_D,0.1002718264517516,211.5522527469589,0.1268280129285865,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_D,0.095267506505862,211.54540887464196,0.12358883576302226,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_A,0.2997369090997963,211.36804488069572,0.03964317275567346,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_A,0.2029681625148947,211.33118271950562,0.022196460533323442,Anglosphere ex-US,domestic_PIs,119.77848101265822
alpha,0.1527151219790258,211.24229463286048,-0.01987391238093674,Anglosphere ex-US,domestic_PIs,119.77848101265822
d,0.0123968639619005,206.1522274542043,-2.428982179269318,Anglosphere ex-US,domestic_PIs,119.77848101265822
r,0.010341500213371546,388.79875831200263,1.010101010099745,Continental Europe,domestic_active,129.0692124105012
I0,3.3206864577859427,388.75987843617634,1.0000000000000089,Continental Europe,domestic_active,129.0692124105012
h_D,0.1373265360835137,385.5258306479204,0.15979285741166308,Continental Europe,domestic_active,129.0692124105012
beta,0.0534082485930257,385.4222131325433,0.13287297798587305,Continental Europe,domestic_active,129.0692124105012
p_D,0.1171905278368249,385.2648068650014,0.09197875534725622,Continental Europe,domestic_active,129.0692124105012
h_A,0.177673210116395,384.9984804391386,0.022787024141999273,Continental Europe,domestic_active,129.0692124105012
p_A,0.20903294772861,384.93501450570966,0.006298544666942514,Continental Europe,domestic_active,129.0692124105012
alpha,0.0867557396488252,384.54060314026856,-0.09616971432571259,Continental Europe,domestic_active,129.0692124105012
d,0.0157145992231017,376.18009422801873,-2.2682338777727176,Continental Europe,domestic_active,129.0692124105012
r,0.010341500213371546,324.3464367865253,1.0101010100997465,Continental Europe,domestic_PIs,129.0692124105012
I0,3.3206864577859427,324.31400214285077,1.0000000000000147,Continental Europe,domestic_PIs,129.0692124105012
h_D,0.1373265360835137,321.7402416800156,0.19846258555358368,Continental Europe,domestic_PIs,129.0692124105012
p_D,0.1171905278368249,321.6936654534919,0.1839575106946293,Continental Europe,domestic_PIs,129.0692124105012
beta,0.0534082485930257,321.51505246811695,0.12833267980951144,Continental Europe,domestic_PIs,129.0692124105012
h_A,0.177673210116395,321.2111244346116,0.033681412268736104,Continental Europe,domestic_PIs,129.0692124105012
p_A,0.20903294772861,321.1434220469535,0.012597089333911054,Continental Europe,domestic_PIs,129.0692124105012
alpha,0.0867557396488252,320.91960161809965,-0.05710654099001861,Continental Europe,domestic_PIs,129.0692124105012
d,0.0157145992231017,313.2438947258718,-2.4475256748932686,Continental Europe,domestic_PIs,129.0692124105012
