rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0123968639619005,206.1522274542043,-2.428982179269318,Anglosphere ex-US,domestic_PIs,119.77848101265822,2.428982179269318
r,0.0080451840028672,213.41846978431275,1.0101010100610202,Anglosphere ex-US,domestic_PIs,119.77848101265822,1.0101010100610202
I0,1.699820950502218,213.3971279374188,1.0000000000000069,Anglosphere ex-US,domestic_PIs,119.77848101265822,1.0000000000000069
d,0.0157145992231017,313.2438947258718,-2.447525674893269,Continental Europe,domestic_PIs,129.0692124105012,2.447525674893269
r,0.0103415002133715,324.3464367865253,1.0101010100997465,Continental Europe,domestic_PIs,129.0692124105012,1.0101010100997465
I0,3.3206864577859427,324.3140021428508,1.0000000000000149,Continental Europe,domestic_PIs,129.0692124105012,1.0000000000000149
d,0.0072251737915665,516.9740064264051,-2.201418179753943,Hindu,domestic_PIs,66.04072398190046,2.201418179753943
r,0.0041068254608944,533.9504483272813,1.010101010033094,Hindu,domestic_PIs,66.04072398190046,1.010101010033094
I0,2.1709128832319893,533.8970532828075,1.000000000000001,Hindu,domestic_PIs,66.04072398190046,1.000000000000001
d,0.0079500468689262,319.55785199985485,-2.2700604632129058,Islamic,domestic_PIs,126.52032520325204,2.2700604632129058
r,0.0046927358916946,330.283340622757,1.0101010100817711,Islamic,domestic_PIs,126.52032520325204,1.0101010100817711
I0,1.534433162128741,330.2503122887576,0.9999999999999843,Islamic,domestic_PIs,126.52032520325204,0.9999999999999843
d,0.0175045025911053,131.94017279154096,-2.616160950175849,Japanese,domestic_PIs,50.47533632286996,2.616160950175849
r,0.0126708786233393,136.8532018351047,1.0101010100949606,Japanese,domestic_PIs,50.47533632286996,1.0101010100949606
I0,1.716709806581601,136.8395165149294,1.0000000000000018,Japanese,domestic_PIs,50.47533632286996,1.0000000000000018
d,0.0180790222463682,116.08636555161776,-2.709883076396132,Other Civilizations,domestic_PIs,104.59615384615384,2.709883076396132
r,0.0138581130595412,120.525042841415,1.0101010100941978,Other Civilizations,domestic_PIs,104.59615384615384,1.0101010100941978
I0,1.6535471735114695,120.512990337139,1.0000000000000122,Other Civilizations,domestic_PIs,104.59615384615384,1.0000000000000122
d,0.0236046218869592,57.77096296159425,-2.6445464729132344,Other Western,domestic_PIs,57.16981132075472,2.6445464729132344
r,0.017356288216888,59.93963966873914,1.01010101008059,Other Western,domestic_PIs,57.16981132075472,1.01010101008059
I0,1.0299263651108157,59.93364570478438,0.9999999999999996,Other Western,domestic_PIs,57.16981132075472,0.9999999999999996
d,0.0055601921420545,1099.9731415676954,-2.1310602944139503,Sinic,domestic_PIs,112.34408602150538,2.1310602944139503
r,0.0030410715487505,1135.2774278771765,1.0101010099856689,Sinic,domestic_PIs,112.34408602150538,1.0101010099856689
I0,3.4179352873876163,1135.1639001356848,1.0000000000000042,Sinic,domestic_PIs,112.34408602150538,1.0000000000000042
d,0.011535520265458,463.2133951133263,-2.2703441023897866,United States,domestic_PIs,132.49329758713137,2.2703441023897866
r,0.0068815775161965,478.7618599479625,1.0101010100693082,United States,domestic_PIs,132.49329758713137,1.0101010100693082
I0,3.2616904826224045,478.713983762118,0.9999999999999928,United States,domestic_PIs,132.49329758713137,0.9999999999999928
