rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0123968639619005,235.20199275238457,-2.294969509578736,Anglosphere ex-US,domestic_active,119.77848101265822,2.294969509578736
r,0.0080451840028672,243.1581764668213,1.010101010061021,Anglosphere ex-US,domestic_active,119.77848101265822,1.010101010061021
I0,1.699820950502218,243.13386064927084,1.0000000000000049,Anglosphere ex-US,domestic_active,119.77848101265822,1.0000000000000049
d,0.0157145992231017,376.18009422801873,-2.2682338777727176,Continental Europe,domestic_active,129.0692124105012,2.2682338777727176
r,0.0103415002133715,388.7987583120026,1.010101010099745,Continental Europe,domestic_active,129.0692124105012,1.010101010099745
I0,3.3206864577859427,388.75987843617634,1.0000000000000089,Continental Europe,domestic_active,129.0692124105012,1.0000000000000089
d,0.0072251737915665,578.2432556993351,-2.0949278207876905,Hindu,domestic_active,66.04072398190046,2.0949278207876905
r,0.0041068254608944,596.5820602189577,1.010101010033105,Hindu,domestic_active,66.04072398190046,1.010101010033105
I0,2.1709128832319893,596.5224020133369,1.0000000000000049,Hindu,domestic_active,66.04072398190046,1.0000000000000049
d,0.0079500468689262,369.2624872507215,-2.133804980307907,Islamic,domestic_active,126.52032520325204,2.133804980307907
r,0.0046927358916946,381.1248728830652,1.0101010100817782,Islamic,domestic_active,126.52032520325204,1.0101010100817782
I0,1.534433162128741,381.0867603958494,0.999999999999998,Islamic,domestic_active,126.52032520325204,0.999999999999998
d,0.0175045025911053,185.82263705920028,-2.3064962943468474,Japanese,domestic_active,50.47533632286996,2.3064962943468474
r,0.0126708786233393,192.1311308054344,1.0101010100949643,Japanese,domestic_active,50.47533632286996,1.0101010100949643
I0,1.716709806581601,192.11191769236532,1.000000000000001,Japanese,domestic_active,50.47533632286996,1.000000000000001
d,0.0180790222463682,166.7087912435156,-2.376910364072134,Other Civilizations,domestic_active,104.59615384615384,2.376910364072134
r,0.0138581130595412,172.49271566366122,1.010101010094192,Other Civilizations,domestic_active,104.59615384615384,1.010101010094192
I0,1.6535471735114695,172.4754663921065,1.000000000000012,Other Civilizations,domestic_active,104.59615384615384,1.000000000000012
d,0.0236046218869592,78.1543009704692,-2.36046624091846,Other Western,domestic_active,57.16981132075472,2.36046624091846
r,0.017356288216888,80.85222789856951,1.0101010100805794,Other Western,domestic_active,57.16981132075472,1.0101010100805794
I0,1.0299263651108157,80.84414267579601,1.0000000000000036,Other Western,domestic_active,57.16981132075472,1.0000000000000036
d,0.0055601921420545,1180.5150356920487,-2.062895753685821,Sinic,domestic_active,112.34408602150538,2.062895753685821
r,0.0030410715487505,1217.55634819628,1.010101009985663,Sinic,domestic_active,112.34408602150538,1.010101009985663
I0,3.4179352873876163,1217.4345925628504,0.9999999999999892,Sinic,domestic_active,112.34408602150538,0.9999999999999892
d,0.011535520265458,517.2970860035231,-2.1613460331772063,United States,domestic_active,132.49329758713137,2.1613460331772063
r,0.0068815775161965,534.0653084531311,1.0101010100693109,United States,domestic_active,132.49329758713137,1.0101010100693109
I0,3.2616904826224045,534.0119019224534,0.9999999999999936,United States,domestic_active,132.49329758713137,0.9999999999999936
