rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0123968639619005,235.20199275238457,-2.294969509578736,Anglosphere ex-US,domestic_active,119.77848101265822,2.294969509578736
beta,0.0526093095896779,241.19644317760304,0.1951792970510034,Anglosphere ex-US,domestic_active,119.77848101265822,0.1951792970510034
h_D,0.095267506505862,241.0088260396443,0.1172414446958153,Anglosphere ex-US,domestic_active,119.77848101265822,0.1172414446958153
d,0.0157145992231017,376.18009422801873,-2.2682338777727176,Continental Europe,domestic_active,129.0692124105012,2.2682338777727176
h_D,0.1373265360835137,385.5258306479204,0.159792857411663,Continental Europe,domestic_active,129.0692124105012,0.159792857411663
beta,0.0534082485930257,385.4222131325433,0.132872977985873,Continental Europe,domestic_active,129.0692124105012,0.132872977985873
d,0.0072251737915665,578.2432556993351,-2.0949278207876905,Hindu,domestic_active,66.04072398190046,2.0949278207876905
h_D,0.1022887904392439,591.0443413210394,0.0724839032790006,Hindu,domestic_active,66.04072398190046,0.0724839032790006
p_D,0.1264746656590587,590.9160935083573,0.0507696658301323,Hindu,domestic_active,66.04072398190046,0.0507696658301323
d,0.0079500468689262,369.2624872507215,-2.133804980307907,Islamic,domestic_active,126.52032520325204,2.133804980307907
h_D,0.0866433975699931,377.6019071362605,0.076404074355987,Islamic,domestic_active,126.52032520325204,0.076404074355987
p_D,0.0924196240746593,377.58335336469,0.0714867402385036,Islamic,domestic_active,126.52032520325204,0.0714867402385036
d,0.0175045025911053,185.82263705920028,-2.3064962943468474,Japanese,domestic_active,50.47533632286996,2.3064962943468474
h_D,0.0757669754462894,190.53379135661407,0.1703234144686632,Japanese,domestic_active,50.47533632286996,0.1703234144686632
p_D,0.0924196240746593,190.4851070315613,0.1447283504591371,Japanese,domestic_active,50.47533632286996,0.1447283504591371
d,0.0180790222463682,166.7087912435156,-2.376910364072134,Other Civilizations,domestic_active,104.59615384615384,2.376910364072134
h_D,0.0667603107412822,171.08144560320457,0.1836746255898943,Other Civilizations,domestic_active,104.59615384615384,0.1836746255898943
p_D,0.0785769997561097,171.02976689310134,0.1534120622838744,Other Civilizations,domestic_active,104.59615384615384,0.1534120622838744
d,0.0236046218869592,78.1543009704692,-2.36046624091846,Other Western,domestic_active,57.16981132075472,2.36046624091846
h_D,0.1033348216480584,80.16797783027627,0.1552554441530464,Other Western,domestic_active,57.16981132075472,0.1552554441530464
p_D,0.10729586082894,80.15561750036936,0.1398134680335837,Other Western,domestic_active,57.16981132075472,0.1398134680335837
d,0.0055601921420545,1180.5150356920487,-2.062895753685821,Sinic,domestic_active,112.34408602150538,2.062895753685821
h_D,0.0894525045515004,1206.002308374214,0.051562432917573,Sinic,domestic_active,112.34408602150538,0.051562432917573
beta,0.1203972804325936,1205.7052878574125,0.0269212140954625,Sinic,domestic_active,112.34408602150538,0.0269212140954625
d,0.011535520265458,517.2970860035231,-2.1613460331772063,United States,domestic_active,132.49329758713137,2.1613460331772063
h_D,0.1760959021214936,529.4197100483996,0.1314587229054106,United States,domestic_active,132.49329758713137,0.1314587229054106
beta,0.0336472236621212,529.2625920000469,0.1017423011805523,United States,domestic_active,132.49329758713137,0.1017423011805523
