rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.0554361182220321,20.0,1.108722364440642,22006.957060194745,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
beta,0.0216695786674922,0.001,2.1669578667492198e-05,49557.907235966355,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
h_D,0.0652425047113204,0.001,6.52425047113204e-05,34413.4239461607,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
h_A,0.1105110304343433,0.001,0.00011051103043434329,59087.25114145603,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
p_D,0.0586493146149205,0.001,5.86493146149205e-05,39347.122065631556,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
p_A,0.0955006427121173,0.001,9.550064271211731e-05,63677.37605371601,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
d,0.0452195436447982,13.947107743537918,0.6306818473276159,3183.4920212765956,True,-1,crossing_found,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
epsilon,4.4123811414830015e-06,20.0,8.824762282966004e-05,45558.68176305635,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
r,0.07817858141629586,0.001,7.817858141629586e-05,36539.87823528843,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
I0,2160.330758948452,0.043815160244104284,94.65523838359385,3183.4920212765956,True,1,crossing_found,Anglosphere ex-US,domestic_active,66416.90685863019,3183.4920212765956
alpha,0.0554361182220321,20.0,1.108722364440642,14517.08069341899,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,66416.90685863019,3183.4920212765956
beta,0.0216695786674922,0.001,2.1669578667492198e-05,16531.98452023141,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,66416.90685863019,3183.4920212765956
h_D,0.0652425047113204,0.001,6.52425047113204e-05,5617.481092292573,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,66416.90685863019,3183.4920212765956
h_A,0.1105110304343433,0.001,0.00011051103043434329,19713.28293194897,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,66416.90685863019,3183.4920212765956
