rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0103056227617407,1019.1912565998311,-1.3036441359366362,Anglosphere ex-US,domestic_PIs,119.77848101265822,1.3036441359366362
I0,10.121618908857272,1041.557137824992,0.8622211600198395,Anglosphere ex-US,domestic_PIs,119.77848101265822,0.8622211600198395
r,0.0063117204153968,1035.2205843211243,0.2486025329764867,Anglosphere ex-US,domestic_PIs,119.77848101265822,0.2486025329764867
d,0.0157231640200902,1716.3771130994971,-1.4377540757815814,Continental Europe,domestic_PIs,129.0692124105012,1.4377540757815814
I0,25.683433937676213,1756.2815679849143,0.8537427438106479,Continental Europe,domestic_PIs,129.0692124105012,0.8537427438106479
r,0.0101481719427738,1747.0189012808496,0.3218379388395066,Continental Europe,domestic_PIs,129.0692124105012,0.3218379388395066
d,0.0072251737915665,1656.4911382847465,-1.1786358363206269,Hindu,domestic_PIs,66.04072398190046,1.1786358363206269
I0,11.338147493606872,1690.9894551109885,0.879431756875273,Hindu,domestic_PIs,66.04072398190046,0.879431756875273
r,0.0040883320473312,1679.32958512706,0.1838383841415984,Hindu,domestic_PIs,66.04072398190046,0.1838383841415984
d,0.0092292706041096,1175.7072801096224,-1.2912471852852108,Islamic,domestic_PIs,126.52032520325204,1.2912471852852108
I0,10.599421774854395,1201.4007106111062,0.8658939018198623,Islamic,domestic_PIs,126.52032520325204,0.8658939018198623
r,0.0056347486545291,1193.8381812180796,0.2309672860378509,Islamic,domestic_PIs,126.52032520325204,0.2309672860378509
d,0.0166246052696031,683.1094041922901,-1.541366870508182,Japanese,domestic_PIs,50.47533632286996,1.541366870508182
I0,11.838628791463355,699.7250267646828,0.8534932749287942,Japanese,domestic_PIs,50.47533632286996,0.8534932749287942
r,0.0117961602784362,696.0742826590973,0.3273004391465055,Japanese,domestic_PIs,50.47533632286996,0.3273004391465055
d,0.0159000937378525,697.0820057740154,-1.530964938323908,Other Civilizations,domestic_PIs,104.59615384615384,1.530964938323908
I0,11.502263064348115,713.962943780317,0.853617740109722,Other Civilizations,domestic_PIs,104.59615384615384,0.853617740109722
r,0.0112049756842225,710.2168235169689,0.324444924714367,Other Civilizations,domestic_PIs,104.59615384615384,0.324444924714367
d,0.0192245382020757,381.1568666622625,-1.5707974112412832,Other Western,domestic_PIs,57.16981132075472,1.5707974112412832
I0,7.250046306258836,390.5427364742831,0.8529912227902996,Other Western,domestic_PIs,57.16981132075472,0.8529912227902996
r,0.0133499004359691,388.6507037222,0.3643963912445686,Other Western,domestic_PIs,57.16981132075472,0.3643963912445686
d,0.0073978002186345,3016.9023944423143,-1.1993470303433564,Sinic,domestic_PIs,112.34408602150538,1.1993470303433564
I0,21.32845752363553,3080.3068325023087,0.8770873591290258,Sinic,domestic_PIs,112.34408602150538,0.8770873591290258
r,0.0042511654551162,3059.348868925563,0.1907342009654371,Sinic,domestic_PIs,112.34408602150538,0.1907342009654371
d,0.0110472699302869,1840.977287165822,-1.3186963188558176,United States,domestic_PIs,132.49329758713137,1.3186963188558176
I0,19.57924455633413,1881.6274029612125,0.8602585489981657,United States,domestic_PIs,132.49329758713137,0.8602585489981657
r,0.0068292676380679,1870.423915212688,0.2597216578004681,United States,domestic_PIs,132.49329758713137,0.2597216578004681
