group,lever,direction,lever_change_pct,margin_gain,normalised_margin_gain_per_10pct
Anglosphere ex-US,d,decrease,-9.999999999999998,34.30056412657653,34.30056412657654
Anglosphere ex-US,d,decrease,-5.000000000000004,16.240758549831057,32.481517099662085
Anglosphere ex-US,beta,increase,5.000000000000004,1.3313881583369778,2.6627763166739533
Anglosphere ex-US,beta,increase,10.000000000000009,2.5621035761307667,2.5621035761307644
Anglosphere ex-US,beta,increase,19.999999999999996,4.76377675577092,2.3818883778854603
Anglosphere ex-US,alpha,decrease,-9.999999999999998,1.6376780477285138,1.6376780477285142
Anglosphere ex-US,alpha,decrease,-5.000000000000004,0.795707463084625,1.5914149261692487
Anglosphere ex-US,h_D,increase,5.000000000000004,0.7603684874346754,1.5207369748693496
Anglosphere ex-US,h_D,increase,10.000000000000009,1.4914530653754525,1.4914530653754512
Anglosphere ex-US,h_D,increase,19.999999999999996,2.8722881968114677,1.436144098405734
Anglosphere ex-US,h_A,increase,5.000000000000004,0.15445826072851787,0.30891652145703546
Anglosphere ex-US,h_A,increase,10.000000000000009,0.29616686083937793,0.29616686083937765
Anglosphere ex-US,h_A,increase,19.999999999999996,0.5471682759832106,0.27358413799160536
Anglosphere ex-US,p_D,increase,5.000000000000004,0.10429679455663177,0.20859358911326334
Anglosphere ex-US,p_D,increase,10.000000000000009,0.19951102669597276,0.1995110266959726
Anglosphere ex-US,p_D,increase,19.999999999999996,0.3670572886434229,0.18352864432171148
Anglosphere ex-US,p_A,increase,5.000000000000004,0.018401514889120563,0.03680302977824109
Anglosphere ex-US,p_A,increase,10.000000000000009,0.035489638016571234,0.0354896380165712
Anglosphere ex-US,p_A,increase,19.999999999999996,0.06625069966679575,0.033125349833397884
Anglosphere ex-US,p_A,decrease,-5.000000000000004,-0.01987237399237074,-0.039744747984741445
Anglosphere ex-US,p_A,decrease,-9.999999999999998,-0.041399299111418486,-0.04139929911141849
Anglosphere ex-US,p_D,decrease,-5.000000000000004,-0.11474404051418219,-0.22948808102836418
Anglosphere ex-US,p_D,decrease,-9.999999999999998,-0.24158781339392021,-0.24158781339392027
Anglosphere ex-US,h_A,decrease,-5.000000000000004,-0.1690097033940674,-0.3380194067881345
Anglosphere ex-US,h_A,decrease,-9.999999999999998,-0.35472893834875663,-0.3547289383487567
Anglosphere ex-US,alpha,increase,19.999999999999996,-2.788905189062831,-1.3944525945314157
Anglosphere ex-US,alpha,increase,10.000000000000009,-1.4670825278284951,-1.4670825278284938
Anglosphere ex-US,alpha,increase,5.000000000000004,-0.753155214431473,-1.5063104288629448
Anglosphere ex-US,h_D,decrease,-5.000000000000004,-0.791448437170942,-1.5828968743418828
Anglosphere ex-US,h_D,decrease,-9.999999999999998,-1.6159228776164127,-1.6159228776164132
Anglosphere ex-US,beta,decrease,-5.000000000000004,-1.4448607517413166,-2.8897215034826305
Anglosphere ex-US,beta,decrease,-9.999999999999998,-3.0182554442951073,-3.018255444295108
Anglosphere ex-US,d,increase,19.999999999999996,-51.34548168658327,-25.672740843291642
Anglosphere ex-US,d,increase,10.000000000000009,-28.02218446449919,-28.022184464499166
Anglosphere ex-US,d,increase,5.000000000000004,-14.683053206349854,-29.366106412699683
Continental Europe,d,decrease,-9.999999999999998,55.646447492801116,55.64644749280113
Continental Europe,d,decrease,-5.000000000000004,26.368390293236047,52.736780586472044
Continental Europe,beta,increase,5.000000000000004,1.5054276921406142,3.010855384281226
Continental Europe,h_D,increase,5.000000000000004,1.4835685189727599,2.967137037945517
Continental Europe,alpha,decrease,-9.999999999999998,2.9076989562458664,2.907698956245867
Continental Europe,beta,increase,10.000000000000009,2.9018410943582182,2.9018410943582156
Continental Europe,h_D,increase,10.000000000000009,2.87916965440931,2.8791696544093073
Continental Europe,alpha,decrease,-5.000000000000004,1.4309278545734685,2.8618557091469343
Continental Europe,h_D,increase,19.999999999999996,5.436061017108926,2.7180305085544636
Continental Europe,beta,increase,19.999999999999996,5.411661243761472,2.7058306218807364
Continental Europe,p_D,increase,5.000000000000004,0.31789008990583056,0.6357801798116606
Continental Europe,p_D,increase,10.000000000000009,0.6075534981688122,0.6075534981688117
Continental Europe,p_D,increase,19.999999999999996,1.1160119669013682,0.5580059834506842
Continental Europe,h_A,increase,5.000000000000004,0.16968005015607446,0.33936010031214864
Continental Europe,h_A,increase,10.000000000000009,0.3270117056292463,0.32701170562924603
Continental Europe,h_A,increase,19.999999999999996,0.609656275207584,0.30482813760379207
Continental Europe,p_A,increase,5.000000000000004,0.021986146578399257,0.04397229315679847
Continental Europe,p_A,increase,10.000000000000009,0.04242346803971486,0.04242346803971483
Continental Europe,p_A,increase,19.999999999999996,0.07926320404010312,0.039631602020051566
Continental Europe,p_A,decrease,-5.000000000000004,-0.02371797245137941,-0.04743594490275878
Continental Europe,p_A,decrease,-9.999999999999998,-0.049380785407890926,-0.04938078540789094
Continental Europe,h_A,decrease,-5.000000000000004,-0.18354173411546526,-0.3670834682309302
Continental Europe,h_A,decrease,-9.999999999999998,-0.38271624681817684,-0.38271624681817695
Continental Europe,p_D,decrease,-5.000000000000004,-0.35045400390714576,-0.7009080078142909
Continental Europe,p_D,decrease,-9.999999999999998,-0.7387456868706295,-0.7387456868706296
Continental Europe,alpha,increase,19.999999999999996,-5.305443028767513,-2.652721514383757
Continental Europe,alpha,increase,10.000000000000009,-2.732600242441208,-2.732600242441206
Continental Europe,alpha,increase,5.000000000000004,-1.3871847466277245,-2.7743694932554464
Continental Europe,h_D,decrease,-5.000000000000004,-1.58014258219265,-3.1602851643852974
Continental Europe,beta,decrease,-5.000000000000004,-1.6276730536226296,-3.255346107245256
Continental Europe,h_D,decrease,-9.999999999999998,-3.2666295909563132,-3.266629590956314
Continental Europe,beta,decrease,-9.999999999999998,-3.3930484607964218,-3.3930484607964226
Continental Europe,d,increase,19.999999999999996,-83.69775428829075,-41.84887714414538
Continental Europe,d,increase,10.000000000000009,-45.605229012151085,-45.60522901215104
Continental Europe,d,increase,5.000000000000004,-23.87712595701055,-47.754251914021054
Hindu,d,decrease,-9.999999999999998,70.79022308408184,70.79022308408186
Hindu,d,decrease,-5.000000000000004,33.538912828889465,67.07782565777887
Hindu,h_D,increase,5.000000000000004,0.485593017971496,0.9711860359429911
Hindu,h_D,increase,10.000000000000009,0.9354112636847276,0.9354112636847268
Hindu,alpha,decrease,-9.999999999999998,0.8950667310193694,0.8950667310193696
Hindu,alpha,decrease,-5.000000000000004,0.4439654102894792,0.8879308205789577
Hindu,beta,increase,5.000000000000004,0.44395321617400896,0.8879064323480171
Hindu,h_D,increase,19.999999999999996,1.7424596374843304,0.8712298187421654
Hindu,beta,increase,10.000000000000009,0.8505793305720317,0.850579330572031
Hindu,beta,increase,19.999999999999996,1.5694277358826412,0.7847138679413208
Hindu,p_D,increase,5.000000000000004,0.08177155951875648,0.1635431190375128
Hindu,p_D,increase,10.000000000000009,0.1561283663523909,0.15612836635239077
Hindu,p_D,increase,19.999999999999996,0.2862964451918515,0.14314822259592577
Hindu,h_A,increase,5.000000000000004,0.04250821997914045,0.08501643995828083
Hindu,h_A,increase,10.000000000000009,0.08258836083928145,0.08258836083928138
Hindu,h_A,increase,19.999999999999996,0.1562516299300114,0.07812581496500572
Hindu,p_A,increase,5.000000000000004,0.003132704085487603,0.006265408170975201
Hindu,p_A,increase,10.000000000000009,0.0061661028395292306,0.006166102839529225
Hindu,p_A,increase,19.999999999999996,0.011953342491210606,0.0059766712456053046
Hindu,p_A,decrease,-5.000000000000004,-0.003236960620370155,-0.006473921240740304
Hindu,p_A,decrease,-9.999999999999998,-0.006583457282317795,-0.006583457282317797
Hindu,h_A,decrease,-5.000000000000004,-0.04516382434201205,-0.09032764868402401
Hindu,h_A,decrease,-9.999999999999998,-0.09324012356751155,-0.09324012356751156
Hindu,p_D,decrease,-5.000000000000004,-0.09035355903040454,-0.1807071180608089
Hindu,p_D,decrease,-9.999999999999998,-0.1907150186036688,-0.19071501860366885
Hindu,alpha,increase,19.999999999999996,-1.7077851814407268,-0.8538925907203636
Hindu,alpha,increase,10.000000000000009,-0.8671898592837124,-0.8671898592837116
Hindu,alpha,increase,5.000000000000004,-0.43699750900123036,-0.8739950180024599
Hindu,beta,decrease,-5.000000000000004,-0.4867543208533789,-0.9735086417067569
Hindu,beta,decrease,-9.999999999999998,-1.0229158036570425,-1.0229158036570427
Hindu,h_D,decrease,-5.000000000000004,-0.5258158181726458,-1.0516316363452907
Hindu,h_D,decrease,-9.999999999999998,-1.0970724194792183,-1.0970724194792185
Hindu,d,increase,19.999999999999996,-106.31566103823411,-53.15783051911707
Hindu,d,increase,10.000000000000009,-57.96623239937446,-57.96623239937441
Hindu,d,increase,5.000000000000004,-30.357029771318935,-60.71405954263781
Islamic,d,decrease,-9.999999999999998,46.312933036069694,46.3129330360697
Islamic,d,decrease,-5.000000000000004,21.945577043710273,43.89115408742051
Islamic,h_D,increase,5.000000000000004,0.37481829618775464,0.7496365923755086
Islamic,h_D,increase,10.000000000000009,0.724857900880238,0.7248579008802374
Islamic,beta,increase,5.000000000000004,0.35375557623257237,0.7075111524651441
Islamic,h_D,increase,19.999999999999996,1.3598269610450302,0.6799134805225152
Islamic,beta,increase,10.000000000000009,0.6778529986112289,0.6778529986112284
Islamic,alpha,decrease,-9.999999999999998,0.6704204615685398,0.67042046156854
Islamic,alpha,decrease,-5.000000000000004,0.33118391536271474,0.6623678307254289
Islamic,beta,increase,19.999999999999996,1.251146115969675,0.6255730579848376
Islamic,p_D,increase,5.000000000000004,0.09510765185126502,0.19021530370252987
Islamic,p_D,increase,10.000000000000009,0.18162512198955483,0.18162512198955466
Islamic,p_D,increase,19.999999999999996,0.33315908239092096,0.1665795411954605
Islamic,h_A,increase,5.000000000000004,0.06647718066392372,0.13295436132784733
Islamic,h_A,increase,10.000000000000009,0.12926260175242987,0.12926260175242976
Islamic,h_A,increase,19.999999999999996,0.24492357591623204,0.12246178795811605
Islamic,p_A,increase,5.000000000000004,0.006255025457448937,0.012510050914897864
Islamic,p_A,increase,10.000000000000009,0.01229371638584098,0.01229371638584097
