group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium,period
Anglosphere ex-US,2061.500000001319,0.08839883031282625,0.0,0.12230429236747649,0.1767976606256525,5.184840425531915,614,614,3183.4920212765956,62957.758586442345,26050.242200823606,7864.077202285701,13587.072068613257,4331.188548452872,23320.444317005476,7506.1514098532625,59774.26656516575,23320.444317005476,early
Continental Europe,4971.045454553669,0.07663639962333946,0.0,0.1259768234806248,0.15327279924667891,5.0236869207003085,781,781,3923.499485066941,174716.7604178561,71390.64550393682,10360.497147986332,38460.78357046561,5934.1585206540185,64865.33134345366,8370.368423763939,170793.26093278916,64865.33134345366,early
Hindu,445.5000000014265,0.04385837679274118,0.0,0.11826387045394213,0.08771675358548237,4.195652173913044,536,536,2248.8695652173915,22742.29936773565,9538.096109564034,1943.3741217588097,3046.5085923647785,951.0267638582087,10157.69466580684,1511.8706513066918,20493.429802518258,10157.69466580684,early
Islamic,813.0454545461914,0.05331972835892884,0.0,0.1205762204575789,0.10663945671785768,3.948717948717949,571,571,2254.7179487179487,36713.11826796466,16299.511986513658,3608.617656005829,5165.114221034004,1619.8332700937403,15248.492060416993,2232.7419092977216,34458.40031924671,15248.492060416993,early
Japanese,1246.2355873173547,0.14329007180973713,0.0,0.14329007180973713,0.3355596983801661,4.227941176470588,424,424,1792.6470588235293,31390.444370363715,19580.315691824355,3435.5634506705837,5328.420623316428,1226.5090192569432,6481.708055222931,1586.9626741472512,29597.797311540187,6481.708055222931,early
Other Civilizations,1183.0909090915547,0.09730691688605475,0.0,0.1284014444422519,0.1946138337721095,4.188197767145136,494,494,2068.969696969697,41910.15199623331,23074.602973854704,4194.229774869893,6677.2056388794745,1726.3771846326663,12158.343383499132,2273.3851183778193,39841.182299263615,12158.343383499132,early
Other Western,132.8636363636974,0.08303852654671573,0.0,0.1272640195053988,0.16607705309343146,4.304347826086956,372,372,1601.2173913043478,4249.949153632251,1579.1038459311078,490.7692116836395,1070.8212960897488,290.58718271829036,1600.0240116113944,407.8955904445039,2648.731762327903,1600.0240116113944,early
Sinic,5535.454545462413,0.05904534933415562,0.0,0.11142107155633589,0.11809069866831123,4.755968169761273,658,658,3129.4270557029176,274800.66629557713,149155.4330905798,15344.175762405153,31896.028434950942,5327.422703983516,93749.20477004639,6816.65929571201,271671.23923987424,93749.20477004639,early
United States,4125.636363638903,0.08626688602134891,0.0,0.12313862116870714,0.17253377204269782,5.17995444191344,356,356,1844.0637813211845,134386.98371802218,55943.211491813774,10252.532776257718,30619.670141280563,5669.191843350811,47824.10208492783,10331.031055373287,132542.919936701,47824.10208492783,early
Anglosphere ex-US,1786.0833333397115,0.06035650835156048,0.0,0.30752123507805323,0.12071301670312096,5.184840425531915,614,614,3183.4920212765956,75969.142782125,21923.680213587642,7323.502523863172,24453.238264846717,7081.597826383844,29592.224303690637,7533.639560179452,72785.6507608484,29592.224303690637,late
Continental Europe,5132.75000001361,0.06272536124220096,0.0,0.3035064896667948,0.12545072248440192,5.0236869207003085,781,781,3923.499485066941,230120.63150726666,76261.59490803033,12628.276538979535,72030.09375477275,10302.111801955336,81828.94284446356,9712.24526585724,226197.13202219972,81828.94284446356,late
Hindu,1561.0833333412033,0.02737726269833729,0.0,0.26107255344649777,0.05475452539667458,4.195652173913044,536,536,2248.8695652173915,109139.95720738257,32434.014154690958,5921.606549596401,19684.780983765246,4232.170797968329,57021.162068926365,4669.828482654592,106891.08764216518,57021.162068926365,late
Islamic,2766.3333333388914,0.031074049400785952,0.0,0.25065313580694365,0.062148098801571905,3.948717948717949,571,571,2254.7179487179487,181517.66293247277,61139.15663434537,10345.73803436726,31354.59770970226,6999.58755504811,89023.90858842513,7097.671364476309,179262.94498375483,89023.90858842513,late
Japanese,732.3333333333978,0.16247417624754235,0.0,0.38747795414462083,0.3249483524950847,4.227941176470588,424,424,1792.6470588235293,24994.500555211875,13832.037416695483,2794.101361810459,6655.080179285379,1577.7192419567227,4507.382959231015,1245.4960126980359,23201.853496388347,4507.382959231015,late
Other Civilizations,1891.0833333380472,0.06597922902665232,0.0,0.2891564729867482,0.13195845805330464,4.188197767145136,494,494,2068.969696969697,88912.86949196027,40570.3359553551,7218.51162569481,19680.735555232633,4121.793486039647,28661.79798137254,3835.9769520255936,86843.89979499058,28661.79798137254,late
Other Western,121.91666666698362,0.06183801213001061,0.0,0.32467820683533066,0.12367602426002122,4.304347826086956,372,372,1601.2173913043478,5584.895862451469,1554.149317797577,408.4557853611231,2059.197614361188,403.39896724538613,1971.5489302927049,331.2071472836329,3983.678471147121,1971.5489302927049,late
Sinic,5574.166666675239,0.035120377679277226,0.0,0.27526748971193415,0.07024075535855445,4.755968169761273,658,658,3129.4270557029176,355182.9184279712,116025.01723979291,13382.252605840547,80441.87832641012,10732.019227921115,158716.02286176814,8617.29172982721,352053.4913722683,158716.02286176814,late
United States,3419.500000000137,0.05340100780904322,0.0,0.3093170511080959,0.10680201561808644,5.17995444191344,356,356,1844.0637813211845,164334.9602736871,46155.07855765088,8657.426159252958,54145.50970141691,8470.971203138268,64034.37201461928,8938.93290637941,162490.8964923659,64034.37201461928,late
