rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold,period
alpha,0.1760087790415523,20.0,3.520175580831046,677.2874840452864,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
beta,0.04700036292457356,0.001,4.700036292457356e-05,215.42610048851725,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
h_D,0.1373265360835137,0.001,0.0001373265360835137,656.1213310322893,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
h_A,0.34657359027997264,0.001,0.00034657359027997266,588.3005675221575,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
p_D,0.022431482441414193,0.001,2.2431482441414193e-05,423.26209229285763,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
p_A,0.07754338732037873,0.001,7.754338732037873e-05,657.6988453504653,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
d,0.005053987678095924,3.0142429797326935,0.015233946878356176,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
r,0.003133363464030481,0.001,3.133363464030481e-06,349.79833846065316,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
I0,1.8746239109865739,0.17129641144620866,0.321116348763257,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_active,699.2468785621446,119.77848101265822,early
alpha,0.1760087790415523,0.001,0.0001760087790415523,570.3309315519775,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
beta,0.04700036292457356,0.001,4.700036292457356e-05,170.05496313356488,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
h_D,0.1373265360835137,0.001,0.0001373265360835137,586.1705657459098,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
h_A,0.34657359027997264,0.001,0.00034657359027997266,463.68126232209573,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
p_D,0.022431482441414193,0.001,2.2431482441414193e-05,126.01106212019313,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
p_A,0.07754338732037873,0.001,7.754338732037873e-05,527.1811412663319,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
d,0.005053987678095924,2.343179482129414,0.011842400230249246,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
r,0.003133363464030481,0.001,3.133363464030481e-06,299.2888813103655,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
I0,1.8746239109865739,0.20020523263615458,0.375309516204365,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,699.2468785621446,119.77848101265822,early
alpha,0.09223087303079779,20.0,1.8446174606159558,996.570429456168,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
beta,0.049247648509779404,0.001,4.9247648509779404e-05,580.5797911409717,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
h_D,0.17328679513998632,0.001,0.00017328679513998633,925.4187098034644,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
h_A,0.2239699336535069,0.001,0.0002239699336535069,1062.2716638839543,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
p_D,0.04981429345534807,0.001,4.981429345534807e-05,602.7611342744074,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
p_A,0.046209812037329684,0.001,4.620981203732968e-05,1100.9421632708727,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
d,0.005853361980990349,4.3115908604063575,0.025237302019888042,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
r,0.003433510460808975,0.001,3.433510460808975e-06,558.768262866107,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
I0,3.399609287172511,0.11555217778833982,0.3928322567622492,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_active,1116.9777574155364,129.0692124105012,early
alpha,0.09223087303079779,20.0,1.8446174606159558,930.404330913316,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
beta,0.049247648509779404,0.001,4.9247648509779404e-05,502.8535439645059,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
h_D,0.17328679513998632,0.001,0.00017328679513998633,801.6388391628906,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
h_A,0.2239699336535069,0.001,0.0002239699336535069,919.6682057347498,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
p_D,0.04981429345534807,0.012447209605912392,0.0006200489520091473,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
p_A,0.046209812037329684,0.001,4.620981203732968e-05,961.6974088598125,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
d,0.005853361980990349,3.1975339768156905,0.01871632381281784,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
r,0.003433510460808975,0.001,3.433510460808975e-06,495.3108459698954,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,1116.9777574155364,129.0692124105012,early
