Combo,Size,S_n,T_n,S_pct,T_pct,P_uni,aOR,CI_lo,CI_hi,P_adj,Model
A,1,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
B,1,54,5,1.8973998594518622,1.4619883040935673,0.5724166644609834,0.8171784715566838,0.30987624237042544,2.1549914548707294,0.6832123075090119,full
C,1,450,53,15.811665495432186,15.497076023391813,0.880139960740903,0.9423574948402398,0.6798995994214221,1.306130565214733,0.7214925922940474,full
D,1,31,4,1.0892480674631062,1.1695906432748537,0.7852541231987236,1.1185905144284136,0.38720399207722583,3.2314871865258783,0.8359720825129148,reduced
E,1,25,8,0.8784258608573436,2.3391812865497075,0.020254896809386472,3.182389476111665,1.3762716424945478,7.358723717731762,0.006795196123716397,reduced
F,1,503,58,17.673928320449754,16.95906432748538,0.7428958048275613,0.9258260227145134,0.6756009813110869,1.268727914918007,0.6316513256380629,full
A+B,2,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+C,2,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+D,2,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+E,2,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+F,2,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
B+C,2,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
B+D,2,80,9,2.8109627547434997,2.6315789473684212,0.8490986643464604,1.0084974311117911,0.4853738513419775,2.0954302868748726,0.9819071965827754,full
B+E,2,73,10,2.5650035137034433,2.9239766081871346,0.693657731883684,1.2682238429341537,0.6199991726149189,2.594183648670196,0.5151994718518438,full
B+F,2,503,58,17.673928320449754,16.95906432748538,0.7428958048275613,0.9258260227145134,0.6756009813110869,1.268727914918007,0.6316513256380629,full
C+D,2,455,53,15.987350667603653,15.497076023391813,0.8149372956596959,0.9267777743170624,0.6688221614109544,1.284223359399616,0.6477434478744397,full
C+E,2,457,56,16.057624736472242,16.374269005847953,0.8803143089261172,0.9837309383320856,0.7141279741759122,1.3551164413471695,0.9200469289415767,full
C+F,2,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
D+E,2,46,10,1.6163035839775124,2.9239766081871346,0.08197536449008497,1.9623107360424963,0.928454553077575,4.147390318700833,0.0774724251366388,full
D+F,2,503,58,17.673928320449754,16.95906432748538,0.7428958048275613,0.9258260227145134,0.6756009813110869,1.268727914918007,0.6316513256380629,full
E+F,2,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9233779866569564,0.6738447192933603,1.2653165956940007,0.6199339358063756,full
A+B+C,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+B+D,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+B+E,3,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
