Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.8171784715566838,0.30987624237042544,2.1549914548707294,0.6832123075090119
年齢(歳),0.9993261659864855,0.9496141929071252,1.051640543585388,0.9793437128443472
BMI,1.00127903576918,0.9825900211799284,1.0203235183143322,0.8942211552624699
GA_weeks,0.9998161491750106,0.9038424275661567,1.1059807568924716,0.9971507463722017
emergency,0.6619097064776042,0.34376491427941447,1.2744885860374848,0.21706007264101213
prior_cs,0.8782249218827932,0.4839683260094714,1.5936559728517112,0.6693009179504605
HDP,1.20702638273197,0.4527639901417815,3.2178192619841455,0.7068396718631991
epidural,2.0076357784137144,1.1719702116333286,3.4391671211075847,0.011155958428971992
手術時間_min,1.0147675519323303,0.9992372389835021,1.0305392396126825,0.062463318540098595
hypotension,1.61694240836827,0.9239807544042504,2.829607369544746,0.09236586938809033
